GEOID,margin,change_2008,change_2012,margin_2008,margin_2012,flips
01001,-0.48996916670003604,0.018889202215780998,-0.030452210123887824,-0.4784061587919292,-0.4595169565761482,RRR
01003,-0.571601113269968,-0.0422146027596193,-0.014910935356503452,-0.5144755751538452,-0.5566901779134645,RRR
01005,-0.055688222370809004,0.045963180825593364,-0.08712001884558546,-0.014531384350816912,0.03143179647477645,RDR
01007,-0.5515364553804286,-0.008277541518233456,-0.08479061215002487,-0.4584683017121703,-0.46674584323040375,RRR
01009,-0.8090901985305612,-0.04421767417694267,-0.06981339055051139,-0.6950591338031071,-0.7392768079800498,RRR
01011,0.5074309978768576,0.04415581170930055,-0.020565995734566633,0.4838411819021237,0.5279969936114243,DDD
01013,-0.1345625286303252,0.05855055878972221,-0.059525694279662145,-0.13358739314038526,-0.07503683435066305,RRR
01015,-0.40997409326424866,0.006708762907974619,-0.09147266974600182,-0.32521018642622146,-0.31850142351824684,RRR
01017,-0.1481294964028777,0.033172211161353105,-0.09651968028420937,-0.08478202728002143,-0.05160981611866833,RRR
01019,-0.6900214292369329,-0.03655266065721652,-0.14120606975980865,-0.5122626988199077,-0.5488153594771242,RRR
01021,-0.6625292612553759,-0.02416389838625488,-0.06001281859023433,-0.5783525442788867,-0.6025164426651416,RRR
01023,-0.13672517827756447,0.028472610636571416,-0.09083751528859751,-0.07436027362553838,-0.04588766298896696,RRR
01025,-0.10674545315018036,0.03355668439404946,-0.0247829711876984,-0.11551916635653142,-0.08196248196248196,RRR
01027,-0.605072463768116,0.017638639963493907,-0.1499145059900055,-0.4727965977416044,-0.45515795777811047,RRR
01029,-0.7705141817078719,-0.057109011278272837,-0.0898685099243618,-0.6235366605052373,-0.6806456717835101,RRR
01031,-0.5611787932777965,-0.00257723958522571,-0.06973032952722902,-0.4888712241653418,-0.4914484637505675,RRR
01033,-0.3786474011639575,-7.505348912789644e-4,-0.17518382839480545,-0.2027130378778731,-0.20346357276915206,RRR
