GEOID,blue_share,pink_share,white_share,all_change,blue_change,pink_change,white_change,collar
01001,1.2604077948616377,1.0658788339083742,0.43682109876954767,-0.0019659573665583687,-0.03405240630113393,-0.030533777511097572,0.0036006808958002345,blue
01003,0.4445214582876283,0.8355462574358172,0.9072637699180677,-0.011922858104763923,0.019097515447499602,-0.014698525708544219,0.01000654168874524,white
01005,2.2935397664990544,0.8166020420165683,0.5841865166478847,0.030448809750285865,-0.0062363202810821975,-0.007741859707402998,-0.01583761131183008,blue
01007,5.524829516604497,1.2731220269627888,0.2928989192466988,-0.009063887389651692,0.02870386360038537,-0.0229336685290187,-0.060594081331975455,blue
01009,2.170707227337501,0.8251571849472087,0.44132626164301686,0.0038668292145721318,-0.022100376870310058,0.01059711191604169,0.02434151910268425,blue
01011,15.985509112816844,1.2803447887174235,0.6379621273578958,-0.06334353166003527,-0.0662136581477511,-0.07834940556040501,-0.04378135530367585,blue
01013,2.7371275026400563,0.6939203373775037,0.5583539722563596,3.7854821157258246e-4,-1.0011476228893867e-4,-0.04127316633282526,0.02195842554596288,blue
01015,0.4323598925406604,1.0592425827438703,1.1687794960624758,0.015477718881676128,0.02747356604666733,0.00972757360797708,0.033708455437493914,white
01017,5.132893027263843,1.066400283176795,0.609479034215857,0.035775725941691816,0.01793105817663292,0.06077155195355226,0.007106731116446508,blue
01019,4.867981555411423,0.5963569725207523,0.8113807675661485,-0.004160482414172639,-0.008839556105692637,-0.06871311780917834,0.020126989063454136,blue
01021,2.08815131244235,1.0363642382928346,0.3250759514110305,-0.0011444806631356163,-0.006801668253568538,-0.0069391874172031855,-0.020118042868989373,blue
01023,1.9092613782940877,0.5852552655176683,0.6523500647208759,0.01718460762740224,0.03793253553381036,-0.06684448644929972,-0.12414331394005548,blue
01025,0.7924088846419068,1.1198964377736795,0.9557702859854825,0.009941179907983344,0.050650270405504426,-0.004715744962414226,-0.03131808670911714,white
01027,3.0986031311171183,1.147608071591207,0.70218280247436,0.014207633964656319,-0.015490099348473774,0.013036624941079333,0.0026280099225458597,blue
01029,3.9964797094801936,0.23527347021056863,0.5894214909817705,0.0277812480502743,-0.031786636078108034,-0.27576640097801614,-0.06271536356119697,blue
01031,1.1533729107914947,0.9223133926479681,1.0175314205195818,-0.002768115442018937,0.0029603132209466533,0.0055547727528303505,0.0033357616324481754,blue
01033,1.2276415653698958,0.8889350355916494,0.7548687402152756,-0.017751958439200445,-0.06138367928023254,-0.001284152716781195,-0.01865674971950837,blue
01035,1.8876603153947888,0.9487057648963083,0.5141751414796701,0.024431864566832894,0.060167396409161175,-0.06646892785962086,-0.12724964927836313,blue
01037,7.9062090142559605,0.5153053496816309,0.37560663139195294,-0.002839657624592362,-0.0346295594775356,-0.21611507365129312,-0.05699508170833587,blue
01039,1.1673634118589742,1.1509780831226675,0.49983090914025574,0.015202681583568745,0.015259853301122405,0.009155960294641951,-0.0065530200254699245,blue
01041,5.213151595718139,0.9003750931121919,0.4028601473623164,0.005068931346852412,-0.04555119796521678,-0.049023258143396406,-0.01340226271622691,blue
01043,2.9285418263591785,1.013444193612629,0.36806302271837177,-0.007229402680631403,-0.007468282182128328,-0.00505524147404921,0.0011566005720401785,blue
01045,0.5287252741749905,0.6685321418894438,1.1945281456040384,0.010821869107350257,0.031060223363278582,0.013553403319965861,-0.03238696537455499,white
01047,0.8881139326041334,1.2787601911411344,0.9378077784237814,0.024943914855026894,0.046712027533620325,0.022622412958623873,0.004598513728024755,white
01049,1.6514307128441306,0.8495670724461845,0.5552632770449508,0.020252813177416396,0.028499562529151423,-0.01622377666457926,0.013045979739928604,blue
01051,1.2657790544285314,0.937658773774617,0.5668287079745464,-0.00824858939330122,0.017712230383844264,-0.00996262016512045,0.020818396134483396,blue
01053,6.767098588600975,0.7947414417207864,0.8985714547980503,0.009763277658158997,-0.007512951755681152,-0.006524160038379978,0.06866227291220493,blue
01055,0.39811228493191336,1.5274316683589815,0.9874253488494247,0.004557921859024238,0.014728423856772732,-0.019115624692767418,0.012428822347586577,pink
01057,7.4577539910392145,1.3521635627339668,0.2738437981885674,0.022797743569305983,8.81833718789693e-5,0.018705549943712686,0.005494305327494231,blue
01059,1.0646852962541373,0.8397324482567587,0.888800788934976,0.00889703020956325,-0.057234509945609836,0.02159889700050762,-0.02304424963700009,blue
01061,1.6357767888610117,0.9626536455762431,0.6446167820035283,0.009367186268765537,-0.12889035703728405,0.025306502064479753,0.008709242615180978,blue
01063,1.7348394795817064,0.7959965260610586,0.6322577844946583,0.017112534274205837,-2.2462469252115813e-4,-0.20299778749678415,-0.026804530094003777,blue
01065,2.247956165798856,1.05802307048959,0.6751781108510667,0.039527690976762994,0.05469921964357797,-0.044589644176548815,-0.020634994662983918,blue
01067,4.410891635048343,0.5758115262878175,0.6400353568173864,0.04353163801423203,0.05994347983365106,-0.10299448151915122,-0.018906171473082777,blue
01069,0.5458213695105897,1.1209180058377228,1.1196817219793826,0.011409118300982313,-0.04171789151657499,-0.0066353917051851785,0.03796621195738188,white
01071,2.505354942849143,1.0123067643780947,0.4325551476747876,9.541544082330433e-4,1.375329946701642e-4,-0.022665973914451375,-0.0054478937275802665,blue
01073,0.49791978185960817,1.0978271502796846,1.1527646644108511,0.010492680042726544,0.026792758559650888,-0.0041156409793389305,0.02327840747038342,white
01075,2.596332276828709,0.6373919868018485,0.7804643387265591,0.00862136479587563,-0.05456163575874066,0.0033078907777694955,-0.017225055793337985,blue
