GEOID,years_of_potential_life_lost_rate,percent_fair_poor,physically_unhealthy_days,mentally_unhealthy_days,pcp_rate,dentist_rate,mhp_rate,years_of_potential_life_lost_rate_ch,percent_fair_poor_ch,physically_unhealthy_days_ch,mentally_unhealthy_days_ch,pcp_rate_ch,dentist_rate_ch,mhp_rate_ch
01001,9215,19,4.4,4.3,40,32,13,3.3277826925309566,-5.797101449275362,-4.575163398692806,1.0551248923341952,3.971076339497389,7.19946294658939,0
01003,7455,16,4.1,4.2,75,48,78,-1.3517114884957178,7.692307692307694,8.080808080808081,3.508771929824565,0.45045045045045323,3.7571409293329103,6.849315068493156
01005,8500,26,4.9,4.7,37,37,7,-3.4647687060108643,5.862977602108033,-0.6388888888888852,4.7267914539610585,-5.303030303030302,4.040404040404037,75
01007,11008,22,4.8,4.6,36,18,NA,-1.486505271806789,2.6455026455026474,-1.2907801418439726,-4.525835491429276,13.558663558663557,-6.060606060606059,NA
01009,8656,21,4.6,4.5,26,19,5,0.5887782513942915,-1.1363636363636391,-2.857453281182099,4.294871794871798,10.920980612450672,0,0
01011,10262,29,5.3,4.8,38,19,9,1.4049019758511208,6.02898550724638,3.3968253968253976,NA,-4.458874458874457,1.8518518518518527,0
01013,11155,27,5.3,5.1,39,25,20,0.6027167628533171,11.66666666666667,12.843004948268112,18.363095238095237,5.912061794414732,-4.406130268199231,33.33333333333333
01015,10352,22,4.9,4.9,63,53,88,-2.267582648067231,-2.838164251207727,-1.2694821518350885,-0.6405228758169882,0.6748013962445807,5.668606413287266,3.529411764705892
01017,11923,26,5.1,4.9,38,26,NA,4.975438370115079,-11.944444444444446,2.0555555555555585,7.151162790697674,-2.2464698331193804,0.5016722408026713,NA
01019,12007,20,4.6,4.7,23,15,19,8.648141195242872,-4.1062801932367154,-1.6607735990571122,3.771615980918312,-9.239346873755474,8.333333333333334,0
01021,10790,21,4.6,4.6,18,25,39,1.5051407898852731,0,-1.3888888888888913,-1.346371882086169,0,3.8474810213940613,30.000000000000004
01023,12530,25,4.9,4.8,37,45,NA,1.7767831454825338,-8.301767676767676,-11.929223744292235,1.4492753623188397,0.9259259259259226,-3.817587641117052,NA
01025,10306,26,5.3,4.9,48,28,36,3.758673175652586,9.090909090909093,15.38961038961039,29.44444444444445,-3.611767796164963,1.234567901234566,0
01027,8484,23,5,4.8,37,15,7,-4.981295883484523,0.04789272030651167,1.1111111111111107,1.9278096800656286,0.9259259259259226,2.38095238095238,0
01029,10847,18,4.3,4.4,27,7,40,0.3748529381727465,-1.578947368421054,-6.615305598356447,0.05698005698006092,29.61538461538462,0,0
01031,7296,21,4.8,4.6,47,33,49,-4.529359507728122,3.801169590643276,13.361344537815132,7.504873294346977,2.2390572390572405,1.1088709677419335,39.99999999999999
01033,10076,21,4.8,4.8,55,40,26,-1.6095483638080443,-3.632478632478635,0.9026434558349431,2.222222222222222,-3.278688524590164,6.915306915306914,44.44444444444444
01035,11853,31,5.8,5.3,39,16,39,-2.682657182745555,20.740740740740744,6.030897207367799,9.584115071919955,0.8771929824561431,2.222222222222222,25.806451612903224
01037,10311,25,5.1,4.9,9,NA,9,-2.955136152854809,4.778554778554781,13.928571428571423,8.156819026384248,NA,NA,NA
01039,9676,21,4.8,4.8,48,34,50,-0.5216963262535956,-2.4347826086956554,9.266409266409262,2.621082621082623,-8.35537033850964,0,4.166666666666674
01041,9118,23,4.9,4.7,14,14,29,-1.8182370410892472,4.999999999999997,5.174418604651165,11.816305469556246,6.926406926406924,0,38.095238095238095
01043,9491,20,4.5,4.7,57,44,102,1.6057196229195585,-3.102453102453103,3.502188868042533,1.5319865319865327,0.010442773600664404,4.29112231437813,15.909090909090917
01045,8368,21,4.5,4.6,26,34,73,-2.0649177905733507,-4.166666666666667,-4.028277977857808,5.14957264957265,1.7195767195767175,4.305555555555555,17.741935483870975
01047,12135,30,6,5.4,81,31,36,-1.998943422292121,5.384615384615384,17.115384615384617,15.765765765765764,13.97945338243846,8.64646464646465,-9.999999999999998
01049,9813,23,4.8,4.7,44,28,17,2.3633469905028237,3.412698412698408,0.7092198581560257,-3.283621140764,12.45438537334683,10.317460317460318,13.33333333333333
01051,8064,18,4.2,4.3,31,14,10,-2.1177601609506103,0.10893246187363796,0.9238728750923947,5.548730548730548,2.5159642401021753,0,0
01053,10954,27,5.2,5,42,40,37,1.3416892106972684,1.3736263736263725,1.3333333333333346,1.4332151300236424,-8.049756553058101,5.756661639014575,8.823529411764696
01055,11392,23,5,5.1,78,49,90,-0.34088581680880026,0,0.05128205128204962,4.370370370370373,3.1985284023831126,6.166686304544207,1.1235955056179803
01057,10604,22,4.9,4.7,41,30,12,-3.8744640858975443,-9.341397849462366,-9.639303482587062,-5.023310023310024,27.62585201609592,-4.564860426929389,0
01059,12179,23,5.1,4.8,48,22,6,4.989809458919818,1.64141414141414,1.0000000000000009,7.303807303807308,0.8368794326241084,-4,0
01061,8851,22,4.9,4.8,26,7,15,-0.9645387720838783,-5.908289241622578,6.277179050860279,14.735591206179445,11.323763955342907,25,0
01063,12011,36,6.2,5.6,34,12,12,3.268674041716283,22.77777777777778,16.356209150326798,3.88679245283019,1.0101010101010093,3.0303030303030276,9.090909090909083
01065,10037,29,5.6,5.1,13,13,7,-9.393547243800304,9.799861973775016,10.742035742035739,8.130081300813009,38.888888888888886,0,16.666666666666675
01067,9773,21,4.4,4.4,29,29,17,0.8850502556489079,7.516339869281049,8.095238095238097,6.769626769626776,0,8.695652173913045,0
01069,8733,21,4.7,4.5,90,60,111,1.517375712220559,0,2.2390572390572405,1.5503875968992276,5.285650022492124,2.37014951171031,2.777777777777768
01071,11745,21,4.9,4.7,60,34,40,2.1671300342966493,-7.098765432098768,-3.98193760262725,-4.985706117781589,5.579345403550954,6.845238095238093,-4.761904761904767
01073,10309,19,4.5,4.5,102,82,128,-0.5537831085528855,3.8126361655773433,8.133133133133137,6.005398110661275,1.690581387194053,5.464956983944329,4.065040650406515
01075,9785,22,5,4.8,NA,21,14,-0.4015069339339856,-5.5768412090251145,-14.788732394366194,-2.9629629629629712,-33.333333333333336,0,0
01077,8870,19,4.5,4.6,50,48,115,1.1045583434739752,-3.1746031746031744,-2.7654540076900345,8.358358358358354,-0.6399893290649605,-0.6530612244897963,7.476635514018692
01079,11488,20,4.7,4.6,24,6,72,1.9251278089681634,-0.7936507936507949,8.832745789267523,2.8787878787878767,15.082956259426846,0,26.315789473684205
01081,7146,22,4.5,4.5,46,28,69,0.6912752127241184,5.653021442495128,8.133133133133137,-2.446363160648875,-1.3721434200157625,-2.260536398467431,13.114754098360649
01083,7702,19,4.4,4.4,33,28,33,1.2471484580002947,-1.5079365079365064,5.653021442495132,11.958292603453899,9.80357142857143,2.516619183285851,3.125
01085,13399,32,5.7,5.2,9,9,NA,-5.021774090879709,-0.6734006734006778,6.25,4.390408645727795,0,NA,NA
01087,11671,31,5.6,5.2,30,26,324,-4.173597314404161,8,18.043043043043042,33.38122605363984,17.26545690740064,4.171497584541066,2.857142857142847
01089,7458,18,4.2,4.3,88,55,96,-1.309663639220145,9.523809523809527,9.926470588235295,9.639249639249632,1.605758582502766,1.2578616352201255,4.347826086956519
01091,11014,29,5.5,5.1,35,25,25,3.8106589473464902,6.623931623931623,7.0833333333333375,11.651651651651651,2.6418026418026446,1.3888888888888913,25
01093,12061,23,5,4.9,63,20,7,4.644782554093237,1.64141414141414,2.898550724637687,3.169681309216192,7.869908792142094,1.7543859649122788,0
01095,10703,22,4.9,4.8,61,31,208,1.5189912098611424,1.587301587301589,1.4036643026004751,2.222222222222222,3.041125541125541,2.3324527252502745,15.555555555555545
01097,10302,24,4.9,5,66,49,72,0.3725667030778442,2.9644268774703533,3.720538720538724,3.611111111111113,4.405148859996233,2.8851457840819514,7.462686567164178
01099,11053,26,5.3,5.1,27,23,46,1.0304946819850132,2.777777777777775,3.3888888888888933,7.015873015873017,-8.110599078341014,1.5151515151515138,2.2222222222222143
01101,9166,24,4.9,4.7,90,66,96,-0.5389706257101001,6.428571428571428,8.354700854700862,9.746588693957118,2.3668902882386065,4.424574313339602,5.494505494505497
01103,9466,19,4.5,4.5,51,49,119,2.0199188353282236,11.269841269841267,3.2520325203252063,5.921052631578945,-3.00180482653174,2.1283019837598913,9.174311926605494
01105,13919,34,6,5.4,30,20,20,1.1491338604401695,8.641975308641976,2.7472527472527486,16.190476190476193,1.7543859649122788,-9.1543513957307,0
01107,10664,26,5.1,5,36,10,10,-2.491785389988632,0,0.6923076923076884,17.171717171717173,0.952380952380949,33.333333333333336,0
01109,10717,26,5.1,5.1,51,27,15,-0.36043745203944527,5.808080808080803,3.5615171137835335,13.255360623781675,-2.0868549439978072,4.166666666666667,25
01111,11034,22,5,4.7,35,13,22,-0.04280076222055899,1.587301587301589,4.629629629629628,1.5277777777777797,-3.4188034188034178,0,0
01113,9846,25,5.1,4.9,27,15,29,-6.978689259906131,8.015873015873018,1.3469387755102054,3.878787878787878,-3.277335691128791,0.1388888888888884,61.111111111111114
01115,10064,20,4.3,4.3,24,29,13,2.90534918055169,1.7543859649122788,3.3577533577533605,2.4999999999999987,0.4744651483781895,6.985495347564315,30.000000000000004
01117,6400,14,3.6,3.8,85,48,52,1.0113472244318984,2.991452991452996,3.0303030303030347,1.8518518518518527,0.11988892359018344,-0.6654966951319582,8.333333333333325
01119,12106,33,5.8,5.5,45,15,8,3.5005915062748123,9.952380952380958,13.253923236906788,10.141093474426807,2.0388570388570364,0,14.28571428571428
01121,11677,25,5.2,4.9,32,26,9,1.1711138468915874,-4.406130268199231,-0.4941599281221878,-1.3071895424836555,0.03156565656565746,10.4320987654321,28.57142857142858
01123,9954,24,5,4.7,46,29,22,0.4163417486732248,2.0933977455716604,2.3467432950191562,-3.205128205128205,6.005398110661272,-2.0497311827957,0
01125,8554,20,4.5,4.5,73,47,108,-3.215404197559124,5.664488017429196,1.5503875968992276,1.7016449234259785,1.9580922767762687,0.014775413711580013,4.854368932038833
01127,14857,22,5,5,48,41,40,1.2948905196778826,-10.360750360750364,-5.506515342580912,-2.335164835164831,0.741293317188489,4.4871794871794854,11.111111111111116
01129,10910,22,4.7,4.6,18,12,12,-0.37156859500918255,0.07215007215007525,3.0502190765082573,18.03160919540229,4.5183290707587425,3.0303030303030276,0
01131,17193,34,6,5.4,27,9,9,10.150402473818703,5.524657026325541,15.44715447154472,7.823129251700678,-13.820598006644518,-14.705882352941176,0
01133,12313,22,5.1,4.9,33,17,4,-0.8030435994649551,7.142857142857148,5.138339920948609,-7.1469271469271405,0,2.0833333333333335,0
02013,0,17,3.6,2.6,NA,30,60,NA,7.14285714285714,0.1512401693889925,-8.67446393762183,NA,Inf,87.5
02016,0,14,3.2,2.5,NA,87,87,NA,-8.73015873015873,25.30345471521942,16.765873015873016,-38.09015059015059,6.855657026889905,-4.395604395604391
02020,7123,12,3,2.8,97,113,283,1.4397276708691509,-2.5641025641025625,-4.010695187165773,-1.0727969348659014,1.7964975845410642,4.204876822523877,7.196969696969702
02050,12030,24,5.6,4.3,101,123,1366,-3.362518384100481,6.428571428571428,21.32756132756133,19.413919413919416,2.771425355011984,0.07052886275172494,43.48739495798319
02060,0,13,3.4,3,0,104,0,NA,-0.7002801120448225,47.61904761904763,37.339743589743584,NA,1.3234323432343247,NA
02068,0,11,3,2.7,0,0,NA,NA,19.047619047619047,4.9857549857549825,10.797101449275363,NA,NA,NA
02070,15713,21,4.9,4,160,140,581,19.866528705165823,25,29.82716049382717,26.1528326745718,-13.284160566111625,4.5758515139108225,7.792207792207795
02090,6211,11,3.2,2.7,74,121,504,2.6930116647269666,0,-2.857142857142854,-3.3333333333333326,1.473866027213507,7.297428317121235,3.490759753593431
02100,6256,12,3.3,3,193,39,312,Inf,-4.761904761904764,-2.4790919952210277,15.079365079365077,-1.0127166444467206,-0.833333333333334,-19.17098445595855
02110,6392,10,2.8,2.8,107,105,503,2.9954670731848285,-2.5252525252525273,-5.68627450980392,-2.2222222222222254,-3.9579350057008007,3.321256038647343,9.58605664488017
02122,6748,13,3.3,2.9,75,64,130,-7.511122217480377,-2.38095238095238,-2.777777777777779,-3.194444444444444,-2.4216524216524205,2.8052675510302696,4.8387096774193505
02130,7357,13,3.4,2.8,95,51,225,-4.159904798117927,-2.38095238095238,0.10893246187363796,-3.09139784946237,-2.6052066836512178,-4.587960257159555,6.635071090047395
02150,6600,12,3,2.6,141,64,243,-1.0665190416556964,0.2136752136752126,2.38095238095238,7.936507936507938,2.489019265335054,-7.383891828336275,4.29184549356223
02164,0,21,5,4,0,0,61,NA,NA,51.19047619047618,32.76353276353276,NA,NA,0
02170,6942,12,3.2,3,56,49,98,2.176838628199466,-4.945054945054943,-5.381697486960639,-4.010695187165773,2.527818093855827,4.466360787488943,5.376344086021501
02180,13246,24,5.4,4.3,81,71,662,-9.106842344963647,14.705882352941176,16.241241241241244,25.055555555555557,-7.104323069669602,-4.389084965164395,14.930555555555557
02185,8245,15,3.7,3,21,52,NA,-7.4934989535166086,-9.920634920634923,1.2626262626262648,35.74660633484163,5.1203277009728625,-5.905444615122035,NA
02188,11816,23,5.1,4.1,26,26,765,-4.512851121901306,7.017543859649122,5.994832041343671,35.34621578099839,-16.9811320754717,5.150697255960413,4.938271604938271
02201,7392,17,4.3,3.6,69,31,31,-4.030802161444543,-4.682539682539681,-2.8368794326241176,8.374384236453203,-7.592295345104332,29.632741985683154,-40.38461538461539
02220,6431,11,3.2,2.8,200,146,1180,-3.162757558547287,-5.128205128205129,-2.734254992319507,1.530864197530857,-2.042105043236412,9.239800320473313,13.243761996161219
02232,4900,14,3.6,3.2,NA,0,160,-20.83950527906895,7.777777777777776,6.9348659003831425,18.261562998405104,NA,NA,0.6289308176100628
02240,8211,13,3.6,3,57,58,101,13.156135002879118,-6.527777777777777,-1.578947368421054,10.671936758893281,0.010442773600664404,12.489557226399336,1.0000000000000009
02261,5504,12,3.4,2.8,72,53,53,-9.98201496239357,-7.720588235294116,-5.136733185513668,-6.834733893557425,4.003267973856214,20.50878573301862,3.9215686274509887
02270,20426,32,6.5,4.9,NA,NA,137,3.6788332483511805,8.051282051282053,1.6534391534391546,10.70175438596492,NA,NA,-0.7246376811594235
02280,5280,12,3.3,3,178,109,253,-15.3368425596179,-7.008547008547006,-5.323565323565323,-0.8797653958944274,17.080013336497927,10.795522039794658,4.115226337448563
02282,0,13,3.5,3,0,0,157,NA,NA,NA,NA,NA,NA,0.6410256410256387
02290,17284,24,5.1,4.1,53,36,90,1.5243077368901108,10.623781676413255,6.890331890331888,21.333333333333332,64.82690963823039,0.02645502645502266,2.2727272727272707
04001,14320,30,5.7,5.3,29,68,93,0.6687327545077429,16.666666666666668,15.811965811965818,7.751937984496124,-1.5686274509803937,8.807647503281617,1.0869565217391353
04003,7159,19,4.1,3.9,45,44,104,-2.909213405726263,1.8518518518518527,-0.7936507936507983,1.778093883357042,5.028910612992773,4.127058578278087,5.050505050505061
04005,7715,16,3.8,4,82,75,182,1.700287948577676,10.47008547008547,8.637992831541215,10.788530465949822,3.5180750370623772,3.842258896526437,2.824858757062154
04007,11630,19,4.3,4.1,58,58,58,2.4078331921915552,-6.073153899240857,-4.214729370008878,-8.484848484848488,-7.084148727984345,7.4454119086977855,0
04009,7707,20,4.1,3.8,64,66,40,-1.3812412670899754,-1.4202172096908958,-2.307963354474988,-3.875968992248062,10.580065359477123,13.049948240165632,0
