GEOID,ssi_recipients,ssi_rate
01001,497,0.9028320223800614
01003,1287,0.6450804470953837
01005,559,2.1003982866160666
01007,389,1.7233740917951446
01009,494,0.856093165118536
01011,188,1.781652767247915
01013,432,2.130177514792899
01015,1670,1.4411087044691628
01017,553,1.625609971191722
01019,301,1.1622967911341082
01021,516,1.1776251226692835
01023,343,2.5814706103710394
01025,581,2.3383104600152937
01027,191,1.4165986798190315
01029,186,1.2407444466680007
01031,535,1.0492047616246005
01033,771,1.417878882615812
01035,277,2.181617704969678
01037,177,1.629234167893962
01039,593,1.571735269951496
01041,265,1.9070236039147956
01043,1032,1.2691229278370801
01045,738,1.4876932690950873
01047,1406,3.3940037657509774
01049,846,1.19260752498696
01051,789,0.974591449781983
01053,575,1.518151815181518
01055,1702,1.6466240337451503
01057,303,1.8053983197282963
01059,448,1.418933899217686
01061,487,1.8195404446104988
01063,284,3.307325026202399
01065,432,2.84979220265189
01067,275,1.6000465468086347
01069,1512,1.4553714951246979
01071,639,1.2146441605839415
01073,7629,1.1574945076286307
01075,246,1.7488980520403812
01077,1017,1.0977860774387151
01079,518,1.5493673914994166
01081,1136,0.7379162958680584
01083,758,0.8398240579678031
01085,316,2.9910080454330337
01087,395,2.006705954074375
01089,2265,0.6471927834432942
01091,568,2.8306588258746137
01093,429,1.4186977082575483
01095,1169,1.2365921255844459
01097,5117,1.2351221725791774
01099,364,1.6564277588168375
01101,3156,1.3879116239797353
01103,1264,1.0572539835222283
01105,354,3.591720779220779
01107,459,2.290190599740545
01109,564,1.6948643207019862
01111,285,1.2602255140393543
01113,621,1.0590763353571186
01115,762,0.8801515431528368
01117,822,0.3991240634908303
01119,413,3.108769288671434
01121,1451,1.7900983258694498
01123,606,1.4795644318570242
01125,2176,1.0747218120125845
01127,1169,1.7822023691552453
01129,300,1.7742030871133716
01131,548,4.928500764457235
01133,414,1.724066130845792
02013,0,NA
02016,0,NA
02020,1837,NA
02050,187,NA
02060,0,NA
02068,0,NA
02070,44,NA
02090,395,NA
02100,19,NA
02105,17,NA
02110,172,NA
02122,373,NA
02130,98,NA
02150,61,NA
02158,99,NA
02164,0,NA
02170,534,NA
02180,92,NA
02185,0,NA
02188,40,NA
02195,20,NA
02198,49,NA
02220,35,NA
02230,0,NA
02240,57,NA
02261,41,NA
02275,0,NA
02282,0,NA
02290,91,NA
04001,1669,2.3069692864843945
04003,1372,1.0703948446289115
04005,956,0.692432495074748
04007,501,0.9421012053630192
04009,281,0.7487542966772363
04011,46,0.4986990459670425
04012,206,1.0145784081954297
04013,17442,0.4266061138071232
04015,1680,0.8250298336680925
04017,1552,1.43426147547801
04019,7215,0.7190996453837092
04021,2080,0.523133570084808
04023,706,1.5167465142758931
04025,1421,0.6500873797955953
04027,2182,1.0733329398107156
05001,270,1.4540362970542302
05003,375,1.7866501500786127
05005,398,0.9709211553473849
05007,1175,0.4791400760915218
05009,500,1.3404466368193881
05011,173,1.5591204037490987
05013,77,1.4779270633397312
05015,260,0.9389671361502347
05017,325,2.9046384842255786
05019,283,1.2475753835302417
05021,275,1.808972503617945
05023,303,1.1841950990737484
05025,95,1.1281320508253176
05027,398,1.6468056934789805
05029,323,1.533713200379867
05031,1221,1.1867734535982273
05033,712,1.14974082387327
05035,1004,2.027832198905294
05037,256,1.4772924000230827
05039,119,1.5378650814163868
05041,269,2.1987902566617623
05043,247,1.3217037671232879
05045,824,0.6842887632144963
05047,197,1.1068037530198325
05049,207,1.6986706056129988
05051,1355,1.3951955847980313
05053,138,0.7647124016402527
05055,609,1.3921591038975885
05057,335,1.508465417867435
05059,406,1.2141148325358853
05061,190,1.4087639949581077
05063,431,1.1639211450175535
05065,235,1.745784117078969
05067,292,1.669048299514147
05069,1370,1.8926573185052153
05071,410,1.5754082612872238
05073,157,2.20289041672513
05075,390,2.305645876441029
05077,264,2.6991105203966876
05079,189,1.356297093649085
05081,145,1.1493341788205453
05083,356,1.6229769774333258
05085,630,0.8838507835407343
05087,190,1.205507264767464
05089,220,1.341136308217508
05091,630,1.4427701186277653
05093,918,2.0769700671960907
05095,218,2.890479978785468
05097,129,1.4175824175824177
05099,160,1.8458698661744346
05101,170,2.1281922884326487
05103,467,1.8885473956648333
05105,146,1.424946320515323
05107,623,3.126097646645592
05109,140,1.2707633657075428
05111,537,2.2253532800132607
05113,275,1.3553474618038444
05115,719,1.1393347806107088
05117,135,1.6198704103671708
05119,4480,1.1434230205765097
05121,278,1.5809827115559598
05123,596,2.205528623764941
05125,800,0.6921792398141499
05127,149,1.3976174842885283
05129,210,2.6455026455026456
05131,1467,1.1519344174761093
05133,175,1.017856104228465
05135,381,2.237622599400951
05137,276,2.207470207150284
05139,588,1.4578271433530026
05141,247,1.4622306417238928
05143,1353,0.6151957441003956
05145,999,1.2673965720665288
05147,166,2.4152480721664484
05149,317,1.459753177380733
06001,16879,1.0515089237156099
06003,20,1.6891891891891893
06005,326,0.8819630441252063
06007,4632,2.068993241824752
06009,439,0.9801951459128764
06011,323,1.5121014933757784
06013,8576,0.7740596159487331
06015,772,2.7942666859707543
06017,1346,0.7355191256830601
06019,17859,1.8542090618381164
06021,522,1.8658850443237058
06023,2697,1.995088103445725
06025,6603,3.6928084470965903
06027,229,1.2495907453890647
06029,14312,1.6425332563634967
06031,2175,1.4474813823946333
06033,1667,2.6015981022535737
06035,419,1.3116293629676006
06037,156110,1.552228239497154
06039,2413,1.573360457989385
06041,1408,0.5428789549580118
06043,223,1.2638141116463588
06045,1608,1.8396274983125307
06047,4792,1.8082950630374979
06049,186,2.0591165725672536
06051,50,0.3558465589637748
06053,4175,0.970476591174823
06055,976,0.6930686038502234
06057,928,0.9408043471649145
06059,28155,0.8988858030317881
06061,2267,0.6117586103607676
06063,309,1.6476485016529807
06065,27263,1.1731612312448256
06067,22237,1.5032109781653484
06069,461,0.7941293000981895
06071,28918,1.3726329699623212
06073,33582,1.0322264148159623
06075,17031,2.0029825399102887
06077,10317,1.4432196514002742
06079,2279,0.8177838380938711
06081,3885,0.5147413441307562
06083,4353,0.9906803673232514
06085,14699,0.7797646329870307
06087,2832,1.0452845927560892
06089,4327,2.414243310197067
06091,48,1.6376663254861823
06093,1242,2.8441879637262986
06095,4518,1.0516857698861257
06097,4053,0.8142216579344927
06099,8175,1.5408218847597166
06101,1940,2.033415089197744
06103,1389,2.204237086407998
06105,299,2.268588770864947
06107,8920,1.95713179264057
06109,752,1.396108718253379
06111,7696,0.9128109024919643
06113,2101,1.0020460626409946
06115,1585,2.1448773292555856
08001,1986,0.41376982647085175
08003,254,1.5532318229071118
08005,1959,0.3171606753142465
08007,57,0.46135167948199113
08009,31,0.849780701754386
08011,81,1.392709766162311
08013,866,0.2758304375384204
08014,126,0.2017646399461961
08015,102,0.5511428108283353
08017,0,0
08019,28,0.30309590820523924
08021,170,2.0698892000487032
08023,105,2.9247910863509747
08025,49,0.8849557522123894
08027,29,0.6628571428571429
08029,234,0.7742960193243109
08031,4578,0.690182314869675
08033,10,0.5589714924538848
08035,282,0.0897408970270941
08037,35,0.06617007600105872
08039,24,0.09907120743034056
08041,2938,0.441690933609553
08043,496,1.0590370449450197
08045,135,0.2348030263501174
08047,0,0
08049,19,0.13112491373360938
08051,28,0.17622254389829442
08053,0,0
08055,117,1.7942033430455453
08057,0,0
08059,1499,0.2682485997029402
08061,0,0
08063,35,0.42818693418155124
08065,25,0.33779219024456153
08067,178,0.32966625921398673
08069,895,0.2751915579224421
08071,250,1.745566261695294
08073,20,0.3626473254759746
08075,150,0.6861220382398683
08077,963,0.6499466814248883
08079,0,0
08081,73,0.560073653521559
08083,196,0.7536722294855034
08085,261,0.6386727352811628
08087,184,0.6504524886877828
08089,316,1.7136659436008677
08091,10,0.21500752526338424
08093,33,0.20072992700729927
08095,33,0.759144237405107
08097,13,0.07410363107792281
08099,145,1.1962709347413578
08101,2240,1.3813687884655705
08103,14,0.21027335536197056
08105,216,1.8583842381484985
08107,35,0.14595496246872394
08109,50,0.7993605115907274
08111,0,0
08113,17,0.21887472640659197
08115,14,0.5914659907055344
08117,10,0.034165840992176025
08119,83,0.353612815269257
08121,19,0.39468217698379726
08123,1212,0.4358693111322892
08125,42,0.41379310344827586
09001,3873,0.4113132926515849
09003,6812,0.7605233454542207
09005,585,0.3159753917284664
09007,523,0.31805300477991705
09009,6182,0.7181074117698989
09011,1517,0.5576529318134197
09013,385,0.25380877980605054
09015,772,0.6593894668511591
10001,1093,0.6374144185124275
10003,2875,0.5208361639646593
10005,1016,0.4810059462939818
