GEOID,year,force,employed,unemployed,rate
05081,2010,6220,5738,482,7.7
05083,2010,9805,8964,841,8.6
05085,2010,33287,31036,2251,6.8
05087,2010,7270,6756,514,7.1
05089,2010,6716,6035,681,10.1
05091,2010,20560,19364,1196,5.8
05093,2010,20195,17667,2528,12.5
05095,2010,3413,3098,315,9.2
05097,2010,3904,3562,342,8.8
05099,2010,4016,3614,402,10
05101,2010,3790,3528,262,6.9
05103,2010,11294,10214,1080,9.6
05105,2010,4560,4154,406,8.9
05107,2010,8585,7681,904,10.5
05109,2010,4843,4400,443,9.1
05111,2010,10737,9736,1001,9.3
05113,2010,8981,8311,670,7.5
05115,2010,30054,27706,2348,7.8
05117,2010,3967,3602,365,9.2
05119,2010,189321,175512,13809,7.3
05121,2010,7260,6516,744,10.2
05123,2010,9830,8784,1046,10.6
05125,2010,53382,49824,3558,6.7
05127,2010,4721,4386,335,7.1
05129,2010,3393,3081,312,9.2
05131,2010,59543,54760,4783,8
05133,2010,7059,6563,496,7
05135,2010,6309,5690,619,9.8
05137,2010,5522,5103,419,7.6
05139,2010,17164,15222,1942,11.3
05141,2010,6476,5752,724,11.2
05143,2010,102865,96162,6703,6.5
05145,2010,36442,33437,3005,8.2
05147,2010,3630,3251,379,10.4
05149,2010,9714,8928,786,8.1
06001,2010,782522,697112,85410,10.9
06003,2010,542,472,70,12.9
06005,2010,15507,13326,2181,14.1
06007,2010,102568,88322,14246,13.9
06009,2010,21012,17977,3035,14.4
06011,2010,11519,9118,2401,20.8
06013,2010,525547,467914,57633,11
06015,2010,10931,9489,1442,13.2
06017,2010,91129,80002,11127,12.2
06019,2010,439593,366221,73372,16.7
06021,2010,13218,11180,2038,15.4
06023,2010,66061,59084,6977,10.6
06025,2010,78665,55978,22687,28.8
06027,2010,9753,8806,947,9.7
06029,2010,371515,313361,58154,15.7
06031,2010,59440,49857,9583,16.1
06033,2010,29847,25343,4504,15.1
06035,2010,12100,10401,1699,14
06037,2010,4917375,4302274,615101,12.5
06039,2010,61607,51366,10241,16.6
06041,2010,133012,122570,10442,7.9
06043,2010,8709,7582,1127,12.9
06045,2010,41601,36772,4829,11.6
06047,2010,113579,93191,20388,18
06049,2010,3818,3237,581,15.2
06051,2010,8890,7984,906,10.2
06053,2010,215788,188339,27449,12.7
06055,2010,70216,62989,7227,10.3
06057,2010,48915,43178,5737,11.7
06059,2010,1537187,1387438,149749,9.7
06061,2010,173338,153236,20102,11.6
06063,2010,9147,7479,1668,18.2
06065,2010,976444,841285,135159,13.8
06067,2010,683127,596992,86135,12.6
06069,2010,27906,23691,4215,15.1
06071,2010,890278,769890,120388,13.5
06073,2010,1515198,1352266,162932,10.8
06075,2010,486019,442695,43324,8.9
06077,2010,311437,259995,51442,16.5
06079,2010,133651,120209,13442,10.1
06081,2010,393004,360163,32841,8.4
06083,2010,212267,191680,20587,9.7
06085,2010,926525,830114,96411,10.4
06087,2010,141717,122872,18845,13.3
06089,2010,78503,65334,13169,16.8
06091,2010,1611,1364,247,15.3
06093,2010,19628,16325,3303,16.8
06095,2010,202407,176969,25438,12.6
06097,2010,244634,218100,26534,10.8
06099,2010,243274,202182,41092,16.9
06101,2010,45965,37528,8437,18.4
06103,2010,25714,21754,3960,15.4
06105,2010,5423,4501,922,17
06107,2010,203021,168110,34911,17.2
06109,2010,22617,19173,3444,15.2
06111,2010,430010,383424,46586,10.8
06113,2010,102188,89834,12354,12.1
06115,2010,29064,23902,5162,17.8
08001,2010,234221,210728,23493,10
08003,2010,7702,7010,692,9
08005,2010,316886,289715,27171,8.6
08007,2010,5785,5169,616,10.6
08009,2010,2084,1982,102,4.9
08011,2010,2006,1843,163,8.1
08013,2010,170293,158308,11985,7
08014,2010,31538,29198,2340,7.4
08015,2010,8270,7634,636,7.7
08017,2010,1047,1004,43,4.1
08019,2010,5623,5167,456,8.1
08021,2010,3753,3394,359,9.6
08023,2010,1553,1388,165,10.6
08025,2010,1522,1383,139,9.1
08027,2010,2078,1940,138,6.6
08029,2010,14510,12961,1549,10.7
08031,2010,347590,315922,31668,9.1
08033,2010,1000,823,177,17.7
08035,2010,157522,146562,10960,7
08037,2010,32447,29697,2750,8.5
08039,2010,12755,11727,1028,8.1
08041,2010,306308,277678,28630,9.3
08043,2010,15825,13973,1852,11.7
08045,2010,31357,28115,3242,10.3
08047,2010,3327,3060,267,8
08049,2010,8950,8165,785,8.8
08051,2010,10087,9439,648,6.4
08053,2010,470,443,27,5.7
08055,2010,2705,2327,378,14
08057,2010,919,838,81,8.8
08059,2010,304252,278790,25462,8.4
08061,2010,779,729,50,6.4
08063,2010,4389,4190,199,4.5
08065,2010,4372,3891,481,11
08067,2010,29874,27744,2130,7.1
08069,2010,170001,157025,12976,7.6
08071,2010,7195,6432,763,10.6
08073,2010,2153,2024,129,6
08075,2010,11261,10551,710,6.3
08077,2010,76113,67776,8337,11
08079,2010,416,387,29,7
08081,2010,8078,7277,801,9.9
08083,2010,13057,11867,1190,9.1
08085,2010,20624,18360,2264,11
08087,2010,14436,13423,1013,7
08089,2010,8489,7710,779,9.2
08091,2010,2151,1940,211,9.8
08093,2010,9641,8856,785,8.1
08095,2010,2197,2081,116,5.3
08097,2010,10879,10000,879,8.1
08099,2010,6166,5736,430,7
08101,2010,74396,66667,7729,10.4
08103,2010,3146,2866,280,8.9
08105,2010,5209,4655,554,10.6
08107,2010,14541,13192,1349,9.3
