countycode,GEOID,foreclosure_rate,predatory_loans
01001,01001,2.3428621382988024,21.07717416647237
01003,01003,2.1852419531421066,20.65058692986042
01005,01005,6.3249276560562215,40.35281146637266
01007,01007,4.535060975609756,34.857723577235774
01009,01009,3.5869376411325344,30.414639796154734
01011,01011,7.654320987654321,48.68421052631579
01013,01013,7.199602780536246,48.60927152317881
01015,01015,4.086010776292158,31.443779108449764
01017,01017,6.740355439965323,39.59537572254335
01019,01019,3.8184004810583283,29.3504410585405
01021,01021,4.171988080034057,34.89780469341408
01023,01023,8.212560386473431,55.412371134020624
01025,01025,7.776096822995461,50.363196125908
01027,01027,4.615384615384616,32.82937365010799
01029,01029,4.428787116255662,35.97315436241611
01031,01031,2.8796200089060413,24.46555819477435
01033,01033,4.0195642507781235,29.127134724857683
01035,01035,7.5,49.3939393939394
01037,01037,5.178791615289765,34.53947368421053
01039,01039,4.075372480280456,32.144944476914084
01041,01041,4.518828451882846,35.49107142857143
01043,01043,4.676545570427024,38.929026774330644
01045,01045,4.121557454890788,33.08004052684904
01047,01047,6.611368626494267,38.64671437865972
01049,01049,3.744069752532376,30.1983584131327
01051,01051,2.4298371266380183,21.14051223998868
01053,01053,6.357927786499215,44.45219818562457
01055,01055,4.2843641709545315,30.695980955048313
01057,01057,5.051813471502591,35.57858376511226
01059,01059,5.896176030762658,42.96296296296296
01061,01061,4.602211915804495,37.392959086584206
01063,01063,7.899461400359066,53.110047846889955
01065,01065,4.587155963302752,31.345565749235476
01067,01067,5.102848101265823,33.33333333333333
01069,01069,3.2784280493617923,27.899420822150024
01071,01071,4.166037735849057,32.00483091787439
01073,01073,4.02729277706304,31.461397058823533
01075,01075,5.048335123523094,33.2378223495702
01077,01077,3.003284842796809,23.35732165206508
01079,01079,4.6300302899177845,34.56433929601847
01081,01081,2.3485068135691503,20.473658772353794
01083,01083,2.521479267837131,23.131849883759546
01085,01085,7.2695035460992905,43.73522458628842
01087,01087,6.381766381766382,44.224924012158056
01089,01089,2.3236026476807767,21.85956481110666
01091,01091,5.40115364446775,37.34265734265734
01093,01093,4.745646978490953,34.06193078324226
01095,01095,3.5778985507246377,30.526315789473685
01097,01097,4.573270181756501,34.32051505133113
01099,01099,6.740196078431373,39.760348583878
01101,01101,3.7400548541378607,28.819297503173928
01103,01103,3.577768674040694,29.646716037392256
01105,01105,8.480565371024735,52.83018867924528
01107,01107,6.775469831849653,47.229551451187334
01109,01109,3.278688524590164,27.650273224043715
01111,01111,4.001798561151079,29.496402877697843
01113,01113,5.481750804083345,38.86609474076837
01115,01115,2.9928830654663714,25.040854808296668
01117,01117,1.6579348763180581,18.540399037781235
01119,01119,7.2443181818181825,47.34848484848485
01121,01121,4.787369493251846,33.43898573692552
01123,01123,4.0990990990990985,28.594313175810974
01125,01125,2.559244308976577,21.78848689028856
01127,01127,4.326817482978256,33.3626244874048
01129,01129,7.203389830508475,48.39924670433145
01131,01131,7.107438016528926,42.731277533039645
01133,01133,5.541972290138549,38.69565217391304
04001,04001,6.626098715348208,28.251121076233183
04003,04003,3.6730107451365965,25.25158404770779
04005,04005,2.2081813444502343,14.968455621813154
04007,04007,4.074932406334493,24.980784012298233
04009,04009,4.8591261739485505,28.277356446370533
04011,04011,6.0606060606060606,41.12903225806452
04012,04012,4.905660377358491,26.37729549248748
04013,04013,5.778267075208371,28.519594270564706
04015,04015,6.701807228915663,28.204682681030363
04017,04017,5.521628498727735,25.894665766374068
04019,04019,4.4813557079538695,23.18314803978935
04021,04021,7.445166721227143,33.948127695219185
04023,04023,7.20164609053498,37.106257874842505
04025,04025,4.079292267365662,19.942761918562528
04027,04027,7.134123202765949,27.483777131349296
05001,05001,5.955107650022904,39.245810055865924
05003,05003,6.323835997220292,46.82203389830508
05005,05005,2.7475310205115218,22.316602316602317
05007,05007,1.8478047343090072,17.37112051214855
05009,05009,4.139460391770358,35.68745304282495
05011,05011,4.96,38.048780487804876
05013,05013,6.990881458966565,58.333333333333336
05015,05015,2.928870292887029,28.548644338118024
05017,05017,5.158069883527454,34.01015228426396
05019,05019,3.608847497089639,27.455621301775146
05021,05021,6.5594059405940595,47.924528301886795
05023,05023,2.8137450199203187,22.627182991647686
05025,05025,4.883720930232558,39.71631205673759
05027,05027,4.777070063694268,35.43689320388349
05029,05029,3.800836183960471,31.05446118192352
05031,05031,2.9632024136630566,25.431246919664858
05033,05033,4.114934373891451,35.370470524607896
05035,05035,5.143475906876016,34.37886917044985
05037,05037,5.090553108174253,38.656716417910445
05039,05039,9.127382146439318,69.72477064220183
05041,05041,6.053268765133172,41.32841328413284
05043,05043,4.321907600596125,30.681818181818183
05045,05045,2.0595440767346265,19.840465940744494
05047,05047,5.500644606789859,47.05111402359109
05049,05049,3.840877914951989,32.63598326359833
05051,05051,2.6516035665935296,21.523131672597863
05053,05053,3.4719834994843586,29.035639412997906
05055,05055,4.431175361407919,34.35553425970292
05057,05057,5.187586845761927,42.2316384180791
05059,05059,4.45906432748538,33.13521545319465
05061,05061,5.428571428571429,45.09803921568628
05063,05063,3.1845042678923177,23.323323323323322
05065,05065,6.190172303765156,47.081712062256805
05067,05067,4.745289602233078,33.40425531914894
05069,05069,4.94783263418307,32.830436208592985
05071,05071,5.449237755433019,45.99406528189911
05073,05073,7.4074074074074066,56.451612903225815
05075,05075,5.979155238617663,45.31772575250836
05077,05077,8.108108108108109,60
05079,05079,6.25,45.91439688715953
05081,05081,4.83689538807649,44.082332761578044
05083,05083,5.497885428681276,38.10082063305979
05085,05085,3.0537665532961866,28.530450132391884
