GEOID,dod_rate,total_pills,annual_pills,change_pills
12053,2.028478153086235e-4,84577590,71.2,5.940825289969311
12055,2.423724336895934e-4,21792270,31.6,5.496013233178095
12057,1.3500981734280927e-4,565124893.6,67.5,-8.313813751582309
12061,1.8339455670426802e-4,41948844,44.4,8.31210694945414
12063,2.263421058046462e-4,12335830,35.8,8.57363682569042
12069,1.734536655815871e-4,78003410.5,38.1,7.925555125603103
12071,1.7127299880863049e-4,181166725,42.9,0.5230928384199638
12073,1.1190336006663345e-4,48079786,25.5,3.461173249854399
12075,3.0229671558070837e-4,17038702,60.7,5.146306008986059
12081,1.8806612941686183e-4,117186894,52.6,2.7121672008214874
12083,2.1002413304278914e-4,104625795,45.9,3.321253372941587
12085,1.7968444172065967e-4,39431144,39.2,3.7818336943588884
12086,9.299086825428499e-5,241652656,14.1,6.9634335429911305
12087,2.6916027729437995e-4,30791325,60,0.8585371138054132
12089,2.1634706099019123e-4,30078860,60.9,8.936490244085519
12091,1.961979946428984e-4,48994909,38.4,4.420781829409463
12095,1.0244007120023972e-4,291876228,37.6,12.276042837600038
12097,1.0561773680915088e-4,57220675,31.6,10.418798661864862
12099,1.5818428723899777e-4,390352868,43,2.5191903497877157
12101,2.0464313531813903e-4,195414137,61.2,-0.4824949194430756
12103,2.011192189101929e-4,394843803,61.4,-3.0859793498910975
12105,1.4120643244460254e-4,153923270,37.5,-3.2159314843664637
12107,2.0949186380070397e-4,36207490,69.4,3.5161476262551075
12109,1.9340318717470133e-4,43430038.5,34.5,3.125571269000038
12111,1.6096035017483157e-4,64898867,34.6,4.5894796709443995
12113,1.9942334360695474e-4,54169114,52.3,6.630277388637781
12115,2.1368358624676673e-4,129544084.1,49.3,2.2971749229191536
12117,1.3179447202933442e-4,126485525,43.4,5.745338362923768
12119,1.594957346613777e-4,21083279,35.9,12.479065704100169
12121,2.613517000918007e-4,10361010,36.5,3.9337313924849604
12127,2.1848765451606077e-4,181054475.6,52.1,4.845841734906011
12131,2.1414143108568293e-4,22569265,60.6,1.1455644785822374
13009,2.3174483286602824e-4,11904739,36.3,14.39160214741311
13013,1.9061255527450452e-4,21644660,46.7,6.724016558731209
13015,1.711730181218647e-4,33039206,48.9,8.032819634988984
13021,1.2770159909095195e-4,75618674,69.8,7.1154735027460285
13029,3.6998036258075536e-4,9639250.733104,47.2,10.867231262505387
13031,1.404218271688151e-4,12663175,26.9,11.223859174015208
13039,2.4987025967286217e-4,15684434,45.8,2.4290053783383967
13045,1.6501809356422872e-4,48970530,63.9,4.391147713413186
13047,1.8587547513542168e-4,25625360,58.3,12.806743269669925
13051,1.5249475954717858e-4,59117777.093,33.1,8.090978550198468
13057,1.4901339484710814e-4,42283093.0195,29.4,6.707055636461073
13059,1.2677322801690454e-4,39782059.2,49.5,7.90253487152528
13063,7.78587141693889e-5,37103732,20.2,5.784925242654533
13067,1.2061588237081159e-4,130661431.5,27.5,5.990856749918627
13073,1.5181081204195568e-4,25882098,31.7,10.157721816121011
13077,1.3167656085130968e-4,26038733,30.8,9.28014030381016
13085,4.289636238846946e-4,8157752.5,53.8,6.4853774575758365
13089,8.264081667689418e-5,76758734.125,15.8,8.469137198360599
13095,1.1140973712530729e-4,19694319.5,29.7,11.205881356823818
13097,1.2206933629447828e-4,36565939,41.2,6.976590703422001
13103,2.435423137274107e-4,9590115,27.2,9.561547748104767
13113,1.3197633196675168e-4,21387673.00725,29,7.7052071055824936
13115,1.573016183278358e-4,50461515,75.4,9.060866199357482
13117,1.1840764100254715e-4,27162025,23.8,8.485427514533425
13119,4.3821209465381246e-4,15790190,102.3,5.731236753242811
13121,1.0996545767014657e-4,132519506.2785,21,6.004268253970853
13127,1.6709189418405142e-4,25617005.3,47.4,5.446808683076404
13129,1.9330802755518066e-4,16076190,42.8,9.942499384598175
13135,1.1201597227689963e-4,113612198.44675,20.9,5.8338494313254845
13137,2.486100438457714e-4,12857876,43.6,6.1225802960386115
13139,1.6705529815904684e-4,47014223,38.3,8.5677339098631915
13151,1.0453871463957433e-4,42377697.4,31.6,7.701259875354605
13153,1.4231877962124048e-4,40469038.25,43,10.840540791689108
13157,2.2934231726964873e-4,20060260,49.2,13.197556205528944
13169,3.4737902525445514e-4,3913270,19.9,15.185601549548387
13179,1.690929719665864e-4,7001500,15.8,14.550140383292435
13185,1.2659394001966127e-4,31409682.5,42.9,11.11010825759288
13187,3.3462111763453287e-4,4741030,23.8,11.441411507793086
13213,4.0746682965339854e-4,11583190,41.4,11.496004144935812
13215,1.3339504173748824e-4,55676244.5,42.3,10.713661514666262
13217,1.401391044956904e-4,20947060,31.1,8.923291645865426
13219,2.6296413169243715e-4,4341109,19.7,9.259865146794633
13223,1.3135473502584174e-4,26525199,28.4,6.557237695392456
13227,3.165759149043941e-4,10344480,50.5,6.850668584343755
13233,2.87999580056747e-4,24436350,84.9,6.7731192421330135
13245,1.308811630313435e-4,51731644,37.3,10.563845330960442
13247,1.6018825960131125e-4,27663745,47.7,8.625676054940882
13255,1.5295197308045274e-4,22917680,51.8,7.735814677750296
13285,1.6227386652262386e-4,16056776,35.1,11.35249637979065
13291,4.361479413817167e-4,6835570,46.5,11.932544051650547
13295,1.7633884818564615e-4,18574876,39.5,8.685213469761914
13297,1.7134987906492142e-4,26727015,46.8,8.791404078353004
13313,1.246378002233305e-4,29197959,42.2,8.60168682460515
15001,1.9926620197933677e-4,52796900,42.1,4.370189498135918
15003,1.143920384206543e-4,102921436.5,15.8,8.739891673302026
15007,2.441707134202769e-4,18794930,41.3,-0.8725304189107034
15009,1.7195081323546685e-4,44466492,42.5,5.592206298708426
16001,1.8632420243625873e-4,100077145,37.7,8.199063729459011
16005,2.714485909810736e-4,22038920,39.1,11.774369136900788
16011,2.73145526672842e-4,7907895,25.5,14.715030280621162
16017,2.787980338547131e-4,12246020,43,6.04309496712643
16019,2.0357075778225633e-4,27823740,39.9,9.971119938870135
16027,1.868350462728204e-4,39980121,31.4,11.523596906462844
16031,4.2258282623394185e-4,8235000,53.6,8.724084352412579
16039,3.8211692777990065e-4,4351740,23.1,10.9143991605653
16055,2.0202996548318778e-4,39147088,41.5,5.366368303996978
16069,4.2492563801334765e-4,17676550,65,3.398635132618529
16083,2.521827563614382e-4,26796650,51.4,10.0754685014944
17001,2.0530556415764231e-4,19784400,42.2,11.375171951353872
17007,2.038660414774728e-4,8631704,23.1,10.12794383948505
17019,1.0682389173839563e-4,30254606,21.9,10.189498091569678
17021,2.950548802077186e-4,8819270,36.1,10.986774090405497
17029,1.8623014321098014e-4,11875750,31.8,10.328908578753882
17031,8.492614302517194e-5,566752649.5,15.6,7.394846685557147
17037,1.494068364248305e-4,12787680,17.6,9.171633700567224
17043,9.489701515832454e-5,124291375,19.4,7.6505514255489775
17073,2.0206510537695244e-4,6001790,17,13.119160609548587
17075,3.795459250569319e-4,6308370,30,15.54882682431865
17077,2.2304577585615263e-4,17325820,41.5,12.64580234079972
17089,8.266197403768399e-5,47026015,13.4,7.341481926404797
17091,1.2081256166004849e-4,24271933.5,31,11.579793892977634
17093,9.954336417270014e-5,13944388,19.2,8.353857733170026
17095,1.993032424404546e-4,13749110,37.2,7.696428326412382
17097,9.804796818303912e-5,92925208,19,6.894158009545086
17099,1.835849606020064e-4,24786735,31.2,6.739761129716263
17105,2.738375595596692e-4,7859980,28.9,17.252280778870354
17111,1.1635912602026162e-4,45422913.5,21.1,9.42210184685896
17113,1.246010130386113e-4,18859690,16.2,10.645556800994948
17115,1.2474217818694665e-4,27537154,35.6,9.136034665728321
17117,2.200413677771421e-4,8682500,25.8,11.95906207560556
17119,1.5932412405355323e-4,78861310,42.1,10.730188707636664
17121,3.047300281495026e-4,10169910,36.6,12.741946013233962
17125,8.758484782132691e-4,2853870,27.3,13.73907048357446
17137,3.721835723897048e-4,8669660,34.7,11.585292074896874
17141,1.9900401791782144e-4,7108250,18.9,9.941032980468226
17143,1.3675757163258024e-4,38699754,29.9,8.979067818058525
17161,1.4949437549187188e-4,21718096,21,8.6035303350706
17163,1.1275946897381927e-4,53993605,29,11.566807080492332
17167,1.575733416842556e-4,48577670,35.6,13.010377328383958
17179,1.3489741884404019e-4,29842355,32,11.692860639512297
17183,1.6868968605104822e-4,26459820,46.2,9.109483225954946
17195,2.1161972015652423e-4,8908860,21.7,9.90373908348746
17197,1.0553105991604671e-4,95760810,20.5,8.594859372068289
17199,2.2316950409299418e-4,34695355,75.8,7.505914418630962
17201,1.3849186017847505e-4,79433549.5,38.6,8.2412761990625
17203,3.189980559285192e-4,5245880,19.6,9.102913562395273
18003,1.3080922726428702e-4,72614102,29.6,14.055901722307555
18005,1.632229236728456e-4,36051504,68,8.76623453602081
18011,1.8039851108845586e-4,15224390,39.8,14.148485315421029
18017,2.7641140115633645e-4,8400330,30.7,16.421427043420564
18019,1.6171267587056955e-4,55662079,74.3,10.183093420498434
18029,3.127002437708109e-4,21104020,60.9,7.475610195479015
18033,2.3394001777944136e-4,7870630,26.8,16.67183183976522
18035,1.3237023830636806e-4,55244760,67.4,8.18892702435724
18039,1.210592727043632e-4,41694210,30.2,11.937519282858041
18043,1.6493946128323542e-4,47106936,91.6,7.306188982728642
18051,2.9607698001480384e-4,11839040,50.8,15.456601546851195
18053,1.880658706229182e-4,29378310,60,12.596656650878078
18055,3.050547573289405e-4,10317530,44.7,11.13740562256959
18057,1.0621331628906327e-4,55916778,30.6,13.08275357081324
18059,1.7838514035912857e-4,18633320,39.4,10.453866642611146
18063,1.4001612065915985e-4,41477158,42.6,12.523793888689546
18065,2.2670596236681024e-4,24445220,71.7,9.207199855659043
18067,1.697244397422863e-4,40780690,69.8,9.450812366939143
18069,2.73000273000273e-4,10309940,39.4,17.77645370155712
18071,2.506608331054598e-4,17825208,60.7,12.139406465691996
18077,3.719041902708585e-4,12390460,54.6,13.005174312556601
18079,3.6025650262987244e-4,12125020,61,11.75026594585971
18081,1.416484644545728e-4,54347760,57.1,10.004980987681822
18083,2.635323998438746e-4,21251150,79.2,9.84732038307115
18085,1.4849293798634041e-4,18017865,33.5,14.46766135365749
18089,1.413718023058866e-4,129986666,37.6,9.340461204784264
18091,1.426496265689096e-4,33338560,43,13.316503201011676
18093,2.1889026441188834e-4,25853570,80,9.681948847182472
18095,1.8030588847002722e-4,71458784,77.7,9.364510266649246
18097,1.4835636362739465e-4,329730683,53,8.721078631343508
18099,2.3351094317192774e-4,12460610,37.9,11.244318169915486
18105,1.2730677114284412e-4,39351720,42.1,5.098159572066978
18109,1.7928661839701243e-4,32676586,67.7,11.30050360756019
18127,1.7308999585876144e-4,48426182,42.8,12.70697545999632
18133,2.656507538053173e-4,10378380,39.1,11.54619927224346
18137,3.8675198649883977e-4,11341610,57.1,9.154864254986142
18141,1.3855617702524157e-4,65236340,35,11.259123016250332
18157,1.1303949044544162e-4,42447586,36.2,13.134051253071478
18163,1.9919591709933557e-4,89647075,72.1,11.378542112162874
18167,2.3154256505539725e-4,42475928,56.8,8.873491586640945
18173,1.9920579525890096e-4,15584688,38.3,14.154349212901021
18177,2.486492201553411e-4,26849930,55.6,10.244614177546973
19013,1.3242453373514751e-4,22959690,25.5,7.858733984619604
19045,2.5526483726866624e-4,9997140,29,9.71036118518943
19049,1.435600696810747e-4,5635590,13.2,4.923591846292435
19057,2.7906740746378464e-4,10835100,38.4,8.527612087246453
19061,1.4248101407973835e-4,15015750,23.2,8.892907472893246
19099,3.002101471029721e-4,8102310,31.3,5.926435414043903
19103,1.1898608537033018e-4,12158306,13.7,7.909684595894884
19111,2.91587694999271e-4,11368600,45.2,13.818208249155214
19113,1.4909387131095632e-4,33753003.5,23.2,7.0215513906551825
19153,1.4364955626092456e-4,129633553,44.2,8.470108355499057
19155,1.865409191933029e-4,21186485,33.1,4.014592066004881
19163,0.00017125185082114951,36360103,32,7.613116609510828
19169,1.0618098313438365e-4,9650155,15.8,8.807886777503303
19179,3.123935022151539e-4,9388600,37.8,8.416345300132601
19181,2.112557039040054e-4,8151440,25.8,11.063992354519545
19193,1.1710373666838815e-4,14273292,20.1,9.608453330448574
20015,2.132302410214759e-4,21940000,48.6,8.332838604625863
20045,1.4253828160832986e-4,20682860,26.9,7.788962479273158
20061,2.953773445576724e-4,6793740,32,10.89445771388332
20091,1.4859910669750775e-4,166185694,44.8,14.481485992826379
20103,1.837294036408779e-4,118021330,226.5,-8.869654149309865
20121,3.2874092226771467e-4,8638480,38.8,8.724481520843632
20155,1.7937252753564967e-4,18793540,42,15.000714813459737
20161,1.3466749889078214e-4,13280210,27.4,8.763051331791772
20169,1.8270179413161836e-4,17521910,45.7,9.466776480625683
20173,1.743078650112669e-4,164282117,48.5,5.496071811419064
20177,2.062306971139895e-4,41492770,33.8,9.357884767925732
20209,1.5207909528081723e-4,36599850,33.7,9.316582223773535
21009,2.988699743213377e-4,21751126,74.8,12.671538030441416
21015,1.487809284369434e-4,51822235,64.7,5.617977127084332
21019,2.3409119297584574e-4,36819430,106.9,-0.163796680958234
21021,3.34179922470258e-4,16214520,81.7,11.377786328685417
21029,2.246737742943052e-4,20767810,40.9,10.815995971398474
21035,2.873413092314926e-4,14635835,57,6.979010583972871
21037,1.2303594456271436e-4,34267460,55.2,7.016449054698267
21047,1.701838920587495e-4,21492250,41.7,7.086696948020592
21049,2.796655200380345e-4,17901390,72.5,6.234360360525059
21059,2.0146721681898387e-4,38240695,57.4,9.653468286064934
21067,1.262147182828836e-4,80949436,40.2,3.9218232708751484
21071,3.356744474282173e-4,47360434,168.1,16.597101949852437
21083,2.693892944694378e-4,14077360,54.3,8.627804974928
21093,1.3556001546388347e-4,26242510,37.4,9.539069752896363
21101,3.02941792173549e-4,26050890,81.2,8.050603114189084
21107,2.5040239024837283e-4,31560881,96.4,13.055766649933094
21111,1.6290666239194835e-4,308104226,60.6,7.822086898432466
21113,2.2111986793255879e-4,16899450,51.6,7.393337032198143
21117,1.3251506437854103e-4,59197594,53.6,6.38624218489265
21125,2.078525918572066e-4,26167610,64.5,4.788062106182082
21137,4.1030690956835714e-4,7354960,42.4,10.4157642280168
21145,2.084360193496061e-4,48799934,107,7.891814340938325
21151,1.5394153350034746e-4,30295861,53.1,9.914592413699685
21157,3.7498849328556407e-4,13865840,63.2,7.634557697043702
21167,4.690651531497725e-4,7359685,49.3,13.569095462810278
21177,3.20728695596395e-4,18195250,82.5,6.572893126203196
21179,2.6292725679228745e-4,16140580,54.3,12.90960029427341
21195,2.0479942152644193e-4,66785120,146.1,1.4700865117626953
21199,2.072169337951185e-4,29044240,67.2,5.9749478755308285
21227,1.591823044892901e-4,36720068,48.2,9.648845558808233
22001,1.8110930702658833e-4,17087968,40.1,4.9764123361404735
22005,1.395265999916516e-4,35165130,49.3,3.4113355202172992
22009,2.5938922551244396e-4,13546860,46.1,9.767265285058185
22015,1.561922484832345e-4,24219553,30.6,4.7555315845276915
22017,1.293223493526563e-4,73927534,41.7,5.112779136157348
22019,1.9214849377746735e-4,56035383,42.5,4.482630289224291
22033,1.093551217758582e-4,139189917,45.8,3.698377266654283
22039,4.4485806529737657e-4,17076330,70.5,9.879145172157799
22045,1.4384971444391642e-4,21391070,41.5,9.94030060280282
22051,1.42029621489092e-4,189981351,62.8,-5.7005940405315965
22055,1.4174516633662235e-4,86640148,57.9,2.520119893118796
22057,2.0594317497736427e-4,28837659,43.3,4.769365301041188
22061,2.3025076401389876e-4,8160700,25.7,9.150264841814547
22063,1.8531500329043232e-4,52910190,62.1,7.294386934241766
22069,3.0641948827945457e-4,6220990,22.7,7.30651259958016
22071,1.148837919209341e-4,50037679,24,9.881817448849995
22073,1.1509950952372275e-4,35323510,33.2,6.230352537651103
22079,1.6779040171517725e-4,51838610,56.5,11.598639672515132
22085,4.1635440086601716e-4,5674430,33.7,9.281398152138872
22087,2.1644084671659236e-4,14594480,71.8,10.43537158975521
22089,2.2780159845504525e-4,14339366,39.1,2.600052571188562
22097,2.0077166250578602e-4,34031130,57,7.95494810747717
22099,2.3804181641338872e-4,12464190,34.4,10.077042800663154
22101,2.0544235474291692e-4,18180123,48.3,9.232582209645754
22103,1.601125902948636e-4,95464351,59.7,0.9789259190864931
22105,1.561922168867011e-4,45833755,55.7,4.8292147150462945
22109,1.3264534008714055e-4,31411286,40.5,8.59138365840646
22113,2.1739940716568903e-4,12874405,32.2,5.726951581772841
22115,2.665641422954294e-4,12084720,34.7,17.594776449354917
22119,2.458331284723929e-4,11595220,40.2,6.434022386819804
23001,1.8429217421374149e-4,35215130,46.7,9.8152549732899
23003,2.0914315196221285e-4,21125610,41.7,1.157686587559929
23005,1.382260583974136e-4,76147985,38.9,5.326034656193187
23009,1.9537289445807298e-4,15781480,41.6,3.883838753235199
23011,1.9022026481764552e-4,42333430,49.7,4.219770676386501
23013,3.0193236714975844e-4,10867450,38.6,2.331293796428256
23017,2.312372361506904e-4,14757790,36.6,6.745942356601649
23019,1.690956650591912e-4,59720732,56,2.0671531831570205
23023,3.390596745027125e-4,8862110,35.3,7.4746555704572595
23025,2.7407188198667995e-4,18989890,52.1,-0.15645611529290973
23027,3.556549131185855e-4,9872840,36.5,1.1315728179034756
23031,1.8755556946958998e-4,49232677,35.5,7.7028830771131425
24001,1.8502024352920119e-4,29733930,57.2,6.070965295318089
