GEOID,d_trump,d_trump3,d_clinton,d_clinton3
04015,129548.52523084004,145594.03354232365,123405.39602599878,189779.61162278237
12035,128782.04281928208,53698.20800587429,39122.94303151774,185881.35438367756
20129,274531.62762904156,302482.79784033744,273202.3137605088,405113.0081897256
28093,605540.5427141049,447454.8494667143,281801.18696285074,758556.1068818154
29510,392014.04927288555,363821.95627234207,324544.019241162,422355.2323874151
35031,412670.84019333223,313990.90500595886,160269.66281125764,469927.023426985
37187,179322.8756378124,100435.62136275912,78183.20497705888,232502.2055712122
38013,1015334.4754339377,875955.1519008685,832869.91761910694,1045787.96965217
51700,237535.20778647068,131133.97867928765,44331.615894096714,273024.2302009787
20109,310076.66478300054,309395.102175544,307257.02130383597,389735.7719977272
13243,477341.4480945651,210697.84093423624,152663.68910548848,489432.3412403645
17081,471559.458623274,411866.40548329905,387145.73715264484,519345.8344126187
19081,166564.8910216333,178378.8973455965,164305.52478771494,182299.9662498336
19197,127623.6513243675,147445.00362960514,125345.92596708542,149699.54728250424
18101,482913.5712883784,247605.44979189278,202267.7996930521,515686.9255552134
19073,77227.78062914273,101498.02993540329,70868.32451606636,128458.0261929456
28111,721669.935022153,182487.1556544553,167833.18739486454,750362.6752471116
29185,198013.76617567425,174553.1709471104,125516.14374401465,330506.2106065998
31151,312415.262360094,212970.60014179983,131316.3748812664,346234.4994470665
38003,690202.0336901889,505083.25658917153,440345.39336934435,712285.8926330323
46085,563992.5654786843,431766.4680652484,319626.89684667357,583391.88292276
46129,666718.6829987416,516811.83780590683,437543.67548190535,693301.3981960176
48383,819621.25271653,612125.8451321438,390883.87668288645,881488.7615316226
48497,464869.12186335376,419118.54697809444,325347.3573678306,762185.5807685876
49051,532728.1174880004,431495.5684509956,262518.6665910543,562874.0146295571
53037,1305848.4228315293,619771.5396799727,149171.30599807773,1373006.1812011814
55035,309093.665935199,144377.63272905018,18606.882012099126,369997.23703623854
55113,437787.36277567537,203322.93231778315,123357.83376607415,492852.3037970947
20069,369567.69597586966,385559.5216919487,367468.5314642554,415645.97448794777
17159,472956.07702613156,354162.8278059199,310671.17351279757,516620.01422777836
27001,535098.866573794,308273.9060945029,193018.20177553032,552299.6114516363
06083,468707.9239467938,491515.94818380236,465449.2902590068,565790.7159604101
13115,493734.4445654767,318815.08285573876,275814.5736049243,577689.8865508112
20121,184603.75865718062,139380.8000243195,51164.100735779364,296314.8939588715
26005,41951.22467554122,65506.56083893538,45736.31520510848,251317.97583287783
26149,121317.77093011067,117802.12660372184,111746.09509677284,272846.7267181601
31157,247557.44417702258,209090.4752406029,182177.1538102559,495709.6914664875
42049,173059.25332762877,84023.01332302965,15646.49976228717,198812.6193327901
01045,491850.24117640714,166685.17038613386,137040.5532146511,508627.44002568803
05123,492070.8913058739,433400.59355903673,308633.28267907194,681478.499964146
12043,116940.23471476123,89474.35081351161,81962.0887801807,131595.28096352005
17117,336516.4093765595,311359.7427907372,259158.45973179184,383514.0664046086
18081,389573.12480736384,177840.54950156712,143412.35068175648,441816.9230332868
18009,282742.6144248711,160984.28229905246,149341.48013417987,337298.09734026314
28137,575972.1810094952,445959.78695397946,263330.3133002947,748900.4180745528
29135,320935.9175009989,273156.2075518506,175515.2631303933,335028.6617503881
31023,289340.37078778783,180122.1396454698,103040.65952005483,347664.39229029464
46107,637724.8968944106,491351.94999573816,404376.5170669669,663986.1400955505
46087,380203.1559290399,269008.7392474149,153377.0961712961,422528.52281905425
48127,1033958.6625518153,762688.141815133,293254.98140966624,1167952.431915496
53001,1240602.0480523093,660726.0749576589,297291.4605942101,1279916.8293149706
54091,124413.33451768247,139523.14657475057,130971.4338977462,202967.99901029494
22061,565208.166405041,444983.2234999126,235512.66735783542,860757.7596250009
19035,204471.7434127837,145320.78995484623,68799.36408630743,250039.0279192337
19031,48662.31566113782,51171.76339733601,49653.54593312239,155868.10681040597
48129,499923.95874888933,510159.9801106992,499708.16054255096,556280.5293944236
48461,804351.1138627076,611042.1914039409,438420.5615107741,873109.791705523
12115,72185.46862367637,67389.82231094022,24341.987140120804,104405.22639771028
17177,169179.74597566974,140730.7447456111,119251.02099189677,274092.15479332395
27105,287597.9393243046,218678.4239971267,141849.11496539437,321322.1838270236
29113,331459.0718709834,306692.8846197624,277994.39574792224,351855.8692232579
31095,330091.6402388915,227300.16169611787,158363.37817732655,345607.19908037595
37185,83733.80542318575,97999.05082790653,86355.66551142327,120875.2266455754
39161,210398.68725134124,120854.0080402451,113350.25032885166,285256.11556461966
48067,458646.4515596212,431451.4539885064,398424.9812206402,788586.8725653118
55101,178140.08855327696,99870.78527572668,35273.33349483044,299064.2518977808
21005,466900.85755273374,172405.12918271756,129650.01561996086,494216.0836102042
17141,192379.7378182627,144564.1921778678,118606.05485561107,283436.3422666978
19181,26051.114810350424,78767.5977547229,29233.301393452908,76438.09517469734
20205,58802.01501351797,100037.02644888185,52646.900694207245,342295.671042351
26025,108118.72157209042,85183.63237171709,56501.48305680523,243357.62212933457
28115,671424.3942647557,385273.48676808673,239210.78129810997,796290.896816734
31163,441365.7638230527,315717.62266609725,255700.1167687053,469428.5165075885
51620,179547.9895390472,120393.42059231117,66864.62704204403,221736.1747406728
55097,329469.60277034104,132900.0692052357,118272.0900088193,377051.5235560432
18023,302070.59039747965,230311.55286121953,215066.6525242991,379388.04834611015
19169,52666.11033331915,84155.60619779454,51413.721632093344,85412.53539073815
27121,467613.61227271444,288714.38797068433,191122.14485571656,481491.58173630084
50009,194981.7036819934,151097.72297938465,134409.56658089568,465895.50158757984
46111,449908.1390451845,325168.9039610689,218673.85107131387,491677.3626127464
01111,568946.6641942053,346068.5823847422,335696.80736304715,632567.3037704946
06091,603703.571977393,243726.9021820707,62582.71984713102,746303.3853260039
12033,559850.7499424882,71643.85523871244,31554.616875173077,587063.3049548678
12053,66984.51624112786,62503.51751601535,62227.4017333425,87741.37631224206
20007,268398.96121163527,312504.3952805241,261874.0852682005,470263.1588991294
04023,233840.20437857858,284973.27258879616,243104.17752007817,511644.68997164123
27081,378424.32496063254,272166.7841632853,214365.87810366426,407929.4574326808
