GEOID,d_trump,d_trump3,d_clinton,d_clinton3
36021,191863.45559350893,167620.56331483985,119647.26307839387,254317.16301316037
37177,212351.38442467916,119157.43954552655,109603.53536952983,265493.2036067011
41039,1085635.1356414482,522578.5912114216,451029.4548416627,1226505.161493839
46101,364495.84304810915,259697.03982266126,172023.1079938905,400330.59722339816
56027,362918.24654616194,320491.99894862087,295255.05914750625,599940.5520377683
01133,679782.9851545587,388517.51188392914,331332.60555490985,766160.4375423688
20177,224473.56287483635,181834.4378319682,101685.35884972551,298030.5890983004
13223,484667.1986397769,313592.0575729905,270876.806662307,563365.1435641058
18013,423016.0730640461,188396.4102692506,147999.94364105296,470224.8200665242
18079,433443.87434997095,141815.15269300714,96975.32710193704,460652.7067340526
19075,104766.2736533075,106960.28204204692,103560.25539101026,112503.70966639202
26133,122905.52957278411,128692.58363845278,113067.70047373172,314684.5307077401
29073,392982.40631805675,339584.42719778715,270834.3098574927,394091.201602869
31019,456316.8232141609,330568.8457968078,268778.73967078025,473407.9527872884
35011,437902.32995664055,385258.6953699189,215071.90490502195,583981.2895496176
40111,158715.8741861,237852.37151004115,158153.6100355742,515359.53161390877
46045,617042.4233260638,469628.7895354457,396284.8310189876,652541.8408912148
48019,879237.063307629,642903.9205558824,167962.08345201783,1062130.945706046
48233,395442.4369107188,431135.7165168396,395004.81923221675,487796.5221294221
48059,629332.3087672128,512551.93371345865,278055.27400060766,807638.7063820295
51600,220835.73603288864,42892.976833742985,25227.145627149668,243701.97903975545
51595,140911.94047813053,129165.59843208031,118811.12045801782,178299.18353376197
55135,298416.95816226455,96900.07798584129,75832.73687856707,383533.0486556385
55129,438086.2040701624,206186.31633202126,124428.92762494061,482438.45814375364
28155,689396.1575111175,327106.70223611675,168118.65955747676,819982.6665409134
26037,104569.38243397119,68150.12375810597,29572.783266225368,239621.43397223926
26085,114465.75042080616,132406.57303749098,109873.95430097394,309722.16177748557
31159,298882.2887094942,198768.71106918372,111669.32579870718,349757.7697878968
40077,244843.8628124701,319413.6715320553,244202.63833231502,590477.9525529655
13279,434333.02622824797,224881.85021375504,210121.82831252526,460154.1665473526
17091,261032.87634501662,231076.62703609117,214441.25799919092,336434.64371184085
18007,288949.08774292533,288286.33697526803,282295.32659463934,361727.6139996318
20023,268906.9835241864,268031.09799738973,260410.7689858641,393812.8369016181
04012,192250.52149463317,178839.25286818075,178665.55063916577,258847.50823785653
28003,675938.9760041581,450907.4882079957,323438.22840991244,758158.802559358
30101,1121217.5572353802,972849.0129447546,789846.1951435817,1276920.452371744
36087,162148.61709750642,110647.12160611032,65279.3196978425,206060.07477379293
48301,722084.1145090688,589813.4391039654,453198.6490896857,806968.1989535452
49037,455500.4621032938,338145.51696902746,200904.42176352334,479243.6668854801
56015,256996.4888708601,215136.35124931656,190790.47939265185,522980.14797225705
04007,111928.55162936091,136772.1789028721,122566.5884180001,351752.35209293594
08047,52801.21781086918,45412.233246623895,33419.34846454378,386124.0901748745
17123,218483.8350626691,185022.04278839243,115902.2262283006,312100.9942815258
18011,329787.027760908,220485.05558396672,198406.27572590054,399036.12240481423
18145,385570.23983817984,152390.82993402664,119851.07907348163,425406.5266013331
20203,285788.10551961797,292443.46916408814,283201.90779772325,382837.6937245734
19015,53849.284430392996,96919.76955523189,49567.78886808953,99922.5771801574
27131,297319.3408913517,168363.0679378267,58172.07887981823,306805.2275207585
31093,403471.098264379,280229.779827171,218242.3088725902,446651.9616000996
37025,86974.97902146347,22792.23196147172,4582.08656814219,147914.83071991586
38091,727230.0868072758,525740.1153473515,450606.6870808014,745183.8544388209
40011,279935.31675012846,347197.6181665239,277157.7629564395,534729.7954700785
48099,661338.2848787704,482909.3998712015,123095.44031738068,928465.4458392111
48065,430852.3259601922,463549.2518875272,430665.6598072795,518686.2931223577
48413,819779.8048507427,611964.9131986974,287083.4075709531,931578.646909322
05141,322761.79732051416,357978.584648506,322259.7415196576,560227.0829802168
39089,211753.58555995888,69800.11016675801,45869.61613983322,228287.43405925014
46057,446115.2234778471,321047.54366848763,251377.79159687122,478762.4913223044
48145,657321.4258339752,476723.1151732672,125082.28204068304,965204.0447963632
48069,466862.4796126141,464478.5329756746,399561.99334319925,586668.0549197923
51670,206668.83886389306,139814.00289555063,111378.64049035241,235819.77347295187
29115,194382.01132378017,186903.11514446445,160622.20965258105,219217.4872873866
31135,296775.1874897061,282029.96433753776,260960.09216537297,450542.02658054174
19147,185526.61165793418,174393.09459550376,154692.3645785992,217380.78207617984
08017,187072.8481732205,185034.07493616754,182137.67607627294,350334.2135923778
01075,756844.0773889782,340859.67461274314,253622.06591291956,789804.3520246827
22019,788993.3228191194,459828.87079716235,380079.14984005294,986376.1661825429
27091,243263.85994745124,203023.36089570375,170229.09052786854,264542.95155765157
27137,629522.2803442712,371113.4217050819,307847.5313746216,661071.809140633
37129,180941.82729552523,28806.469367586513,969.6266255653017,223355.34633932935
38019,881763.7224031251,665362.4940002761,589080.268276663,897559.6390681727
41065,1124730.6833190909,536786.9581859465,322314.785142372,1235035.1361620442
47027,472411.7265824067,294515.0138326225,287219.83265611355,572813.1414439391
01085,616819.7071164149,210084.7966237926,200590.22751612336,633835.8828648386
06069,528582.2473595403,403563.19714077056,341499.6634659639,654643.0856817702
06061,584839.0325599809,257071.56257653522,92281.08635671852,726569.9304854203
13113,489944.8378747286,305472.60240417585,287500.05801361584,560279.5162201563
19033,169978.85359754149,172543.4432974918,169232.91473223415,174326.2905518771
20133,65142.34191300477,99924.3852938708,63420.19633044893,336234.3212788106
20009,315823.88244687906,329475.02121778106,307734.3043243829,457507.17582462856
19047,149010.02857259387,113010.90383390874,97840.20278338471,203226.78667435845
26165,155077.53190239516,165230.2423362847,148464.89937996856,338497.7057597927
26113,165759.66121940446,167722.92031546895,155451.1208835306,345284.25648476445
29001,175901.09068654434,193005.49259258804,178609.87089992917,190401.931473338
38065,861774.7785157629,702531.9652613438,645419.549504019,865912.5650653373
39067,92067.28322781886,72929.56373705291,62291.29038170955,156643.14099840142
48249,1061907.3230807686,754812.1871600898,287447.15698620613,1282532.2867355898
48143,585922.2606271494,465783.8603656004,223340.5781528144,836959.1892879257
55133,195898.61506252093,71090.23098761156,5421.049563866091,309672.41358411097
55027,233315.92154349783,78098.10581991398,42539.23326028331,324958.9712480173
18033,190049.65611620678,120819.7546520371,113732.50484100102,270995.7052374334
26049,92822.07944157273,75373.62419028438,61826.42935113996,229779.4083429428
20093,289201.820168091,303891.82570441096,286983.2942880622,389029.2208201111
41023,986169.0087863607,528529.921420489,458912.7275530623,1080541.0409238108
13213,430909.0190484633,252086.6598057235,212525.0446376808,519013.7230898777
21029,521726.64059854386,210475.10279188666,163062.28380955054,540199.601463839
28153,725415.1984478672,183447.30986218288,157094.92989360995,750421.4107871751
31133,269275.68676725414,194661.85262345217,127086.67582334054,296720.1836906591
36101,295694.2545537218,171465.28442271624,171059.52977556174,303533.6688482391
40147,43126.96952091816,122126.96597150073,42733.747742037696,399624.1251774054
41055,1131892.6769292993,546225.085916595,307822.81381379557,1231118.3184936424
49001,293190.0042212934,341880.7043850828,302852.8348994872,385373.858929811
05043,523619.41231258656,419440.0399306192,203458.69948241822,781399.3727941873
06019,405107.4280473749,338796.8659268688,305907.3465312387,535973.3371579295
13219,385525.3170766816,230409.26671878356,196076.43662594256,453393.2730053268
17155,214216.62467846117,181099.82504363128,112694.88339819685,306112.31123338407
19069,132003.4165454059,139342.1515750921,131002.05061554734,140958.69712097803
19113,13039.444572407358,43576.87663572647,12536.201893089123,123374.52757889239
21215,494893.4586233928,184906.26302166103,138973.4471517656,514694.65571854624
27147,262062.7274159964,172657.7577663146,94920.57120479051,270951.71752284985
28101,787518.6637687432,223588.60597236853,99246.19566422424,801074.4081683712
30007,900902.1876886218,839002.229789676,835811.491292668,1045726.1655040826
31075,352703.73484105174,325473.1064422859,299194.14639723033,499017.7933440993
36123,338164.0982312004,183322.7214253939,181447.50416908183,340083.32665629504
39027,334692.8868764362,23254.873734979385,2645.2085284284885,340591.3327606199
46049,587548.2331253272,443715.6904183448,362021.43770464836,625058.6775510667
46035,432046.3650338184,311920.9175120405,193301.337096039,476728.72939385066
46037,526711.3879514424,388203.26091897127,334637.6609293292,556116.5431231958
48179,464596.24362565094,483905.58477754355,464165.8418856596,523835.89355651545
55099,426519.6705581764,194516.46519740616,132561.22402485993,473805.1027689093
16085,961844.8137860238,664162.7188825273,623383.6651556432,985731.1987283474
31117,376187.9010023875,354789.6109820643,330835.3702895167,488828.39911049075
51510,208114.67900381886,55697.648703573475,43110.740142256735,240981.55710789058
46077,437936.6118307024,314235.23666199646,227068.9068123956,474604.2324996251
09013,143626.74586996596,125563.74833323795,103508.9716904939,258916.61501561594
13285,555074.7790194893,323345.98872341303,295196.0389022973,599307.0535187245
20013,253122.41214429124,179579.8316469996,127609.77522693545,272888.51796795236
22123,608280.7355526239,364299.6422046208,131786.261301044,871169.6985459947
29011,125094.70812636107,139877.08886221232,125145.95845432057,348627.3768121008
39037,280572.80808424676,93623.73563203754,79891.05131458197,334721.5475937003
46063,652612.4402215627,610457.729004857,586146.2080962114,794262.0219581239
55075,318843.27677887765,139504.49355335164,96218.19207768298,440507.5371631548
56045,449644.928634285,407093.9522359422,381368.82575622626,665445.1552795921
12097,33812.10650565952,48079.47273357513,33954.04422341165,104917.27530733336
17053,324243.0594197691,267719.2503243813,221698.148260829,371698.4214038059
18017,249554.69063777066,242193.7292267198,240738.032237965,345656.92479666293
20029,324008.4743636643,277078.2552689494,246099.25064564287,381094.5233977379
20167,343119.93207720853,344743.8838765577,334896.2142637666,459469.3806929541
38043,771645.3708479498,604424.3702875406,559805.2592546972,800194.1080480327
29075,164737.04273464443,157837.9260994549,139540.8243012474,211099.93467512156
31101,312490.584571225,293015.5224129011,269704.53560777864,464046.4684429424
31167,292415.2070324915,169745.01438177258,91688.9741978734,348457.6352179304
46043,432182.877968404,309327.21412069356,188170.03326063266,479539.0219231322
48329,751330.1461943486,586239.2966001573,454558.3275089712,832736.9731363488
48085,439081.0173008804,406343.7329476191,337093.765209804,776488.8242516303
48045,515910.3172897503,526615.0388636497,494350.38768794783,588149.5651410017
48153,553987.232252634,531553.1601173624,495795.1216325955,626570.4274516882
51680,170959.85095887957,132929.44509059307,66809.42282989096,183523.25780732415
55139,253547.79384404028,76527.41146856797,70992.60563309187,361348.6550139038
21129,346827.2540113661,189699.22442841026,181454.7931726114,416916.78060697427
17049,415641.4010393876,360539.8082718512,322642.78212210105,472063.39843839535
18073,239730.224514562,247669.40478704727,243314.68228965436,332896.36232305464
18041,351852.5648844437,106324.64927616772,83647.21539775943,391569.3338833959
26073,112917.57657393998,101969.62182492034,97420.1714625983,284211.78049753036
31175,438836.8675550053,309172.6691783998,236266.96158531177,471603.2545949726
20015,133660.1435048281,165591.3326952433,125436.48786437539,380653.389219763
37079,86100.37274438459,32076.435543656007,18890.11029689408,141184.15206247254
38075,1009427.9800038591,822680.2469806265,773298.3801250973,1015598.4629444527
17115,326490.93224286055,295064.32647185365,230061.94870598096,397461.9675694567
19175,78665.83654422482,99238.88716120916,76831.72010124984,132030.1967830485
19191,148281.54603781502,155204.36250656287,147249.71774292612,210748.44283467156
17147,337177.69939934235,304565.423280648,237153.22569623037,397501.7324938223
19003,105664.6470585263,104451.58314924529,101884.35270404918,162014.51450558135
17165,541306.367881273,427490.47506387084,380199.95180618746,587191.3470787319
46065,599842.6695823929,460728.3210259697,358672.5595539271,618321.3960749904
19019,57826.16406269738,87526.20653677009,56690.20173071776,139077.1675601649
19023,125801.94733967376,131366.60662908212,124522.06370878324,140128.3802884265
20061,240068.89887420114,220069.63391330553,186915.708153158,339437.80137440894
19037,133133.06172699694,153442.88816876482,131916.04522458254,176796.42979719912
20155,237041.06691960825,263644.5457543224,229139.36724955766,448033.1687091245
20017,163946.3955040368,170109.51512286597,156096.56343214295,350273.448779378
48095,745946.5486272149,578631.377472116,242903.87732031685,895071.3329087523
48101,532288.4189032058,517586.5351992839,489784.5264531842,633901.4711578655
48107,598378.7353438532,538785.994814981,506511.06213584426,667080.6252875441
19063,215622.64053886698,195106.1858607651,171085.21336051417,242699.04766886495
19067,152837.3116924531,160471.99601507574,151558.487988842,171125.95335158493
19077,68735.76616575249,87039.37738332037,61970.841993482834,126322.91662606124
19189,199578.66262673747,189623.28533349815,171678.33491392137,211218.60269662496
21171,489357.3219505332,304732.1520795983,287468.00262235134,590060.6614372493
55061,221444.55624136655,66711.53955476389,31460.902861461567,365090.93303039204
19103,34026.92981033294,51679.12404760718,34448.70552426667,125499.8112792322
19123,85629.4533456057,97126.40690884317,86290.3053217214,94807.81998152267
18099,186159.36466093827,195289.0244917687,190177.67684169352,309107.7289337961
18131,225385.38380837976,238734.4335409884,231551.55750475187,328299.9944252443
18127,194202.43488852182,203910.9731248579,200609.44269326533,307964.3362293255
37135,50887.11435764788,63120.82978618388,47342.41531330778,70836.81798335565
21061,543198.0357838913,306336.8546788496,259748.68321034193,608371.9186521259
16059,933489.818990264,757700.3163723717,720371.3355793433,968610.9824632722
22017,523849.11795726797,435832.5469873097,348380.93515634874,846224.0830446228
35057,418303.6637949776,326741.3882234722,82583.1886106243,526412.3832634209
37063,33733.17574602498,65245.36364220586,30899.71180058888,66408.85391693846
56031,257957.02338482245,215615.46802521258,188894.28648376538,541832.4948927161
51037,137515.08740565606,133829.68862231536,116083.45688348418,150606.2201982507
55033,332648.60020846187,150496.3312133474,35437.358349732734,378898.73552007525
45087,202322.82985012114,92282.4645335826,91997.47160233026,264810.0120562698
56029,650304.0220322429,603250.2068322749,590312.1816776457,834913.7685855358
27099,209788.9774907068,169461.80617431505,139307.34623505967,233466.0565017668
30069,856394.9215905322,816249.0146980423,788396.839743371,1066307.1604924263
51099,254596.9009652252,73688.50152572116,30738.95068678872,273488.14871245786
48055,824372.3254394196,544641.0163783367,50726.0316236359,1086126.2699626868
41013,994481.9560161395,498263.7304111613,449078.08404152753,1116314.2155227133
29043,216603.87600948545,231374.37167163377,216360.46654869858,417424.33331368864
30017,719152.3482770796,676758.4404265216,649777.976482187,899852.459827315
01057,729149.5514956295,340161.1722204179,275990.2798294562,782368.8826764583
41033,998279.4071363705,511151.99003106664,450191.4672070331,1140966.460600733
18021,412870.1645936794,263089.88633775676,225724.9116538905,455175.3099509621
31169,363677.7567874116,251229.3844833528,185592.46547822765,373162.3549234063
51135,161734.19046549272,156064.68629280513,139834.57771551376,183546.8099607734
20057,379393.3070723963,389222.71763537754,372291.0570705057,430175.65280553704
17145,476519.05854457215,431248.3251223168,398588.6562034038,514862.59246347693
20135,406116.3339152526,403871.18046330515,398279.0044934249,422715.83866365446
16063,768491.2694889063,621557.579457125,613012.0635319228,794288.6070909289
29077,203997.8897822508,211085.18630215252,203851.94622809987,391141.5404428391
31091,392058.91079437133,365430.63169752085,341947.29951116716,504896.4406143587
17093,258748.46619040045,179407.29930224933,162164.7979788702,319590.32376459567
18161,343085.39446519496,87133.3143241134,69129.85488969872,383617.42129820975
29221,429823.85653786,389513.7279997165,338931.0106607742,449924.4420359858
42083,191663.38565871574,150026.3647843756,129478.51512429844,245587.92428753036
26039,217172.49557405105,212655.564165584,205400.42018184657,370179.75593542925
22055,831022.4206185066,408834.81285354454,294013.4474912109,918840.8418132286
51683,240568.45098063716,40101.27408012431,27702.465573636033,255430.66938356054
26143,184020.18581739135,176742.773111228,171021.83004953738,338036.3400340091
39019,91465.49703467569,57677.65242727337,34879.074410663285,147707.38734770054
38017,659184.459837769,463759.3702426844,386953.41344239557,677269.2816284666
55047,270908.560587733,102346.56339208772,84973.5906630516,338261.2312041815
39021,254795.3721322861,52094.844300172845,27050.21807768509,298614.46516148245
31123,264034.76558303053,231174.20707991358,203790.737879368,482434.3096198011
05023,363150.9540099518,377882.4969074495,362671.59315496613,581667.5527722521
29137,268719.6514640874,251975.71272010604,227826.35092110088,273757.3800939094
39065,195668.7097585858,81056.45799238568,62596.1990419192,271346.1169964684
33007,190358.32282595598,130472.03654745322,120534.7506980034,473278.67725384387
27085,363929.6803238714,204246.00708964755,82637.16494495037,371232.19186642126
33009,109280.67549977472,91011.52979494433,52942.03342324518,384674.6236927223
29145,116036.56125146885,157061.40666858864,115734.1971578263,389840.4714169254
48163,966406.2332881297,705229.0158998357,213910.15605266223,1149523.5955845579
29229,280455.15791819966,276815.5446622982,264199.2954177511,422125.8379065532
48269,565215.7491756391,524927.9049594387,445411.1356284616,674222.3975699134
48271,964953.945255201,704673.9034685986,289719.6227675963,1070427.864026585
18141,154495.58359625822,167525.89574930456,159494.17658757447,292912.9952796193
17095,166945.80940468138,136228.83204764157,72630.80447405028,252294.96231481657
39103,166828.1885344595,40243.07954443234,31770.29596457516,173494.52036140632
01061,478298.9748916041,133567.45380222774,97289.01237567788,497216.96940138505
17105,284059.8018402585,233478.09399718334,181992.46124621632,343967.0868596798
17109,188111.06037037898,165932.93483812438,119690.73133688925,248109.918525894
48283,1021201.8950914841,747528.0527132314,259389.6092738909,1194715.5582103434
19065,100838.01887556558,127583.46037721982,99770.82458838106,171330.39314405582
12085,61899.50584696241,102796.320116018,49832.26817247318,100960.26747925405
17121,437758.97757826024,390716.2884389112,350941.442420556,490695.0726328668
19121,40468.876203582855,79399.66591851722,38082.779983210465,96489.12093241
06105,851888.9322050634,479511.0009912729,309615.68047752086,994111.0806394968
17203,242418.8646547669,209057.04703379225,140129.6959384139,328832.04618105484
39165,340361.8245358358,36321.916322883226,29528.07593089172,361316.1856767051
12011,32993.572808442506,56133.36641819377,51477.66232953439,47563.37432674427
48463,938005.2336650022,690281.2165812706,231439.37783714617,1088002.2028203644
39033,167922.83259620823,87668.9660816122,61506.2351583239,222632.63069581467
39047,307574.5058703853,36423.96531527093,31572.665621018583,311194.47388468124
48483,451067.01727940753,466196.44358366245,447668.10204765876,530572.9941816791
39077,139340.95594025851,85096.18846102634,68105.09964922015,201180.77544088376
48501,590768.962333077,527766.9440538632,404802.4842456546,712728.4295735552
13165,404025.6704834464,283497.4104173018,276229.2172534887,435547.01796645776
48011,468669.25589716766,489329.4712126488,468697.8141417185,552159.6720613765
39041,231737.33786188654,38656.952546630935,7224.670220757379,246993.79040693416
40043,320797.7274324977,383427.7840643245,317153.7735519742,515602.6462466126
48285,862474.5698522566,568111.3285900063,121030.29162603107,1150393.7031756635
20077,214726.08959806792,262350.0188926988,208228.3955034528,472986.88029374875
27093,400000.04851872567,225645.32940621063,106122.22816961957,408298.01582938107
48297,995662.455857322,698635.1444446415,220767.16445799998,1225021.0848565134
48219,558515.334376773,519608.3570199712,421833.8782225853,668753.9406892859
39003,197300.99644514578,100929.40483301172,99396.39904280003,276200.8418858224
27059,421405.62449418765,220465.02481435475,76584.0042170082,437437.7854975812
27143,336559.8179680955,198102.07993780143,85871.25472730727,344967.4268786833
29147,170537.38075215396,151959.45372374012,129427.76044818496,221534.3465138366
48425,572487.9172169282,454216.7380070212,215014.21790817243,849849.2307416262
29039,174509.12364245078,168472.8437907365,153223.3826784171,346255.5420452267
30049,1011919.2130729301,882151.0315043363,749366.5973886272,1142700.9239923004
29159,279303.29522934795,224602.95743162872,114235.37790803458,306894.09655232186
48279,510424.3295443809,495180.85095014895,403307.51303742215,627251.4103461584
32029,529668.1294577728,192681.01309980502,22843.135961749187,672413.0846972883
13173,345186.07539732417,140004.96617223264,121595.58758152269,352042.95682959136
19131,180185.5253712488,177070.80152987642,172806.61885596014,200774.40407084665
29139,339733.72884031106,301828.95242723956,266524.75473521266,345209.01953832025
17135,357205.2318216129,329720.1737610255,272765.03064505185,411489.62852399563
13155,410151.6693460881,186750.22280359693,150114.87959081982,417179.4075989717
47051,534852.5120342417,349773.1440286527,322326.70248501335,628520.588617848
38027,797021.7196123177,603340.9358998934,539728.457904741,818830.6753833548
38087,747932.74242209,691754.0103743097,681018.939499967,872879.8332546224
48363,537077.1832575966,452441.55883079,281419.2192568309,786382.0731580826
13307,497100.38315448357,242411.29434165382,177385.79006435975,507190.16002268356
06071,174749.92687974666,227981.24460819075,164533.37217961563,257934.78666539752
13085,399998.6479710088,231151.74899237003,184615.40844308896,481849.46548653505
55073,360742.88522209914,142240.90222244392,137762.34318065725,407998.0765361371
55081,236150.27693191823,180277.77528467248,118051.26925543851,320014.9437132339
39093,138765.2901438612,57002.79705366746,27346.337026469326,182474.64965634182
42075,117929.58088667109,34104.44486149687,20002.64476619487,177585.76247955448
39133,127653.14710254362,43720.58158142267,27925.272611343353,153512.65448317528
46119,627678.3127598846,484473.207165176,389109.83011182945,644150.5540889918
47081,645797.6523060219,446218.7738655122,441621.1166426906,721100.459731424
51630,272566.19542218465,58125.57937407051,2641.9567785652707,282456.10588761297
31179,291669.92055712175,166807.4847933101,66916.67910500534,345941.1347738677
42113,199526.88837177277,67279.6672208067,59727.585090348315,237137.87932904184
26109,319974.4816317202,166522.49212037234,123446.17166333548,449885.43043437175
37191,67140.00099973333,36879.38100084019,28763.187922278514,120860.02422606356
05053,422217.3575211486,385537.6074624127,304549.1159016029,689540.2432424566
38103,818165.8620295324,635210.655949674,581091.1371604394,843369.2476834942
48189,530623.3925710644,519146.0972637225,449451.5671103549,625792.4982038023
31069,293931.79310226464,266458.7178913777,239945.6730400655,478205.7839822447
29209,195971.91504591468,222132.3508275374,195649.76117554988,426325.9726402902
48193,637417.746522422,480336.05283431476,163642.8885584462,890202.1042578587
29175,255927.83014432405,236506.00261223267,185298.96415423037,269572.93493038963
48199,757858.7188005229,484804.60128148063,310209.9056117076,1042414.3375965012
37077,58213.722311667094,86132.47285043127,57309.4271297754,88316.1262019655
29177,249312.2462941996,190740.1517004319,65724.84017763208,265924.4562876596
