GEOID,year,gini,earn,home,rent,pct_white,pct_black,household_size,median_age,education,pct_foreign,pct_foreign_lat,pct_moved_dom,pct_moved_int,unemployment,population,density
04015,2012,0.4307,20816,144700,822,89.13257395038168,1.0033993320610688,2.5040881090162403,47.4,5.815143924936387,6.696783555979644,0,11.856909987277353,0.2778109096692112,13.570889080707813,201216,5.76712674922301
04015,2013,0.4318,20849,133900,803,88.99841332804442,1.132487108290361,2.5137729029041505,48,5.553847679492265,6.853927013090044,0.046112653708845694,11.76765172550575,0.3485719952399841,14.152950704902054,201680,5.78042562610974
04015,2014,0.435,20701,124600,799,89.30966703213124,1.0830592348949537,2.514398539656521,48.6,5.73087978190654,7.436710423642595,0.04839936389407454,11.156547248644324,0.3012613466876068,14.213169720494733,202482,5.8034120469355
04015,2015,0.4382,20702,123200,786,89.045642745449,1.1270542185855765,2.5158600554235946,49.2,5.639696698498244,7.283563300911674,4.194982346751114,11.602954337585194,0.40863091433011084,13.140425531914893,203362,5.82863405482412
04015,2016,0.4455,21155,130000,791,89.57221220945935,1.0312872920851157,2.478897072250289,49.7,5.854274194736506,6.969046648561846,4.114836295419611,11.346615658869808,0.40858620334038864,11.870742408497865,203629,5.83628664130851
12035,2012,0.4279,24280,180300,1040,80.82969568795775,11.493223040620084,2.679479663903079,47.7,11.866190213258045,13.237209205413233,0.09167908154229219,5.476783314407159,0.3635909029347724,11.753015164302633,95987,73.1109654045862
12035,2013,0.4387,23562,169300,1039,80.61993196370028,11.208517898068878,2.7295705108424273,48.2,11.590836682048488,13.407878644618245,2.983525349174212,5.141776549059105,0.31448803198322733,12.191697863906628,97301,74.1118072742314
12035,2014,0.4363,23621,163800,1046,81.28142609997673,11.148993858948028,2.7502991179498593,48.9,11.341217890998857,13.37474580901025,3.1656262962475847,5.00085994961707,0.2741721720303916,9.916962563256632,98843,75.2863112034496
12035,2015,0.4242,23536,164100,1053,81.41253981326216,11.212208408164075,2.727550744248985,49.6,11.265788873123443,12.391970868102756,4.902612543782185,4.719049839754721,0.39788456386493753,8.577762158362845,100783,76.7639620612209
12035,2016,0.4306,24087,174700,1079,81.76686067413547,10.937940281974795,2.6976933158584533,50.1,11.296481630828726,11.771621792318083,4.257799974736924,4.347192397757416,0.48874335629682175,7.283714154684508,102917,78.3893780047694
20129,2012,0.415,25017,73400,574,84.65855940130963,1.2472715933894607,2.63084495488105,39.4,11.287807920174618,10.102899906454631,0,6.111630807608356,0,1.8931710615280595,3207,1.69637538880261
20129,2013,0.4017,25970,82100,549,82.62099308610937,1.3513513513513513,2.6829679595278244,41.1,9.239472030169704,10.182275298554368,0,4.179761156505343,0,3.5236081747709656,3182,1.68315138358899
20129,2014,0.427,25659,87200,603,81.76638176638177,1.646090534979424,2.634695579649708,41.5,8.325419436530547,9.908198797087685,0,1.7727128838239947,0,3.942652329749104,3159,1.67098529879247
20129,2015,0.3827,24589,99400,599,85.83386992916935,0.9336767546683838,2.6122792262405383,41.6,6.825499034127495,11.3650998068255,10.688989053444946,1.9317450096587252,0,5.899705014749262,3106,1.6429504077396
20129,2016,0.4218,24139,105600,573,85.65776458951532,0.6264424662050775,2.6191709844559585,41,6.857896472139796,12.298054731289152,11.704582921200132,2.4398285525881964,0,8.621960206337508,3033,1.60433631251584
28093,2012,0.4569,19883,86100,649,49.74202436586618,47.50803641373349,2.843459559105922,38.5,5.894270509738242,1.8936221940084823,0,7.136875658445662,0,13.962454964920044,37019,20.1381432537559
28093,2013,0.4426,20520,83700,691,49.56684680770171,47.28837954539282,2.8216858237547893,39.1,5.849604866523641,1.5180729435407219,0,5.572604078972381,0.04345110392960921,14.093488935654614,36823,20.031520274266
28093,2014,0.4338,22549,88300,728,49.437711540561196,47.03570258761873,2.7710460630814615,39.5,5.30352658587182,1.3320231466317283,0,5.8521672671689045,0.03275466754012447,11.005170214194589,36636,19.929793247916
28093,2015,0.4415,NA,84800,676,49.201594063487704,47.59928541981586,2.776209369754311,39.6,6.483440978425175,1.4181668269891439,0.893225230177271,5.444551326095919,0.10169025697402775,8.393702981331847,36385,19.7932505547937
28093,2016,0.4221,24106,93100,645,49.20709470659742,47.81191291855454,2.7394232952395368,39.5,6.094596087965521,1.284672339485026,0.8315836003978341,5.450878550116035,0.09669576748812023,7.525153717160425,36196,19.690435538857
29510,2012,0.4972,21524,121700,711,44.452746548958174,48.9490686817758,2.277796052631579,34,10.967359124972138,6.825481042423405,0.001883670772022466,12.149362534416234,0.7368292169894546,14.106376153580419,318527,1856.9832883343
29510,2013,0.5033,21819,119200,724,44.93047608596824,48.56108228433478,2.2676890481472003,34.2,11.507892962957158,6.704707560627675,0.19971469329529246,12.23244658337383,0.6574595162326974,14.280616921666697,318955,1859.47848920395
29510,2014,0.5062,21929,118600,742,45.4567702140076,48.11484436524047,2.2832428327865095,34.4,11.84242313955203,6.751545993907011,0.22087868301085256,11.979217323916707,0.56694286960314,14.006578987971437,318727,1858.14927004909
29510,2015,0.5073,22720,120400,748,45.74547742645902,47.68475696083058,2.2775966464834654,34.6,12.55088878401762,6.7418593676262395,1.6114519427402865,10.879345603271984,0.6141261601384301,12.25837718943974,317850,1853.03644022974
29510,2016,0.5186,23556,120900,759,45.63680663228175,47.89798436857261,2.25548830968626,34.8,12.86301933360757,6.342752270354081,1.568838401417587,11.18596335790906,0.5749454165743758,10.530609683391383,316030,1842.42600662515
