value
abind
acepack
albersusa
AppliedPredictiveModeling
aqp
arrayhelpers
askpass
assertthat
av
backports
base
base64enc
bayesm
bayesplot
BH
bindr
bindrcpp
bitops
bmp
bookdown
boot
brew
broom
Cairo
callr
car
carData
caret
cartogram
caTools
cellranger
checkmate
class
classInt
cli
clipr
clisymbols
cluster
coda
codetools
colorRamps
colorspace
colourpicker
compiler
compositions
CORElearn
corrplot
cowplot
crayon
crosstalk
crul
curl
CVST
data.table
datapasta
datasets
DBI
dbplyr
ddalpha
deldir
dendextend
DEoptimR
desc
devtools
dichromat
digest
dimRed
diptest
dismo
doParallel
downloader
dplyr
DRR
DT
dygraphs
e1071
ellipse
ellipsis
energy
evaluate
expm
factoextra
FactoMineR
fansi
farver
flashClust
flexmix
FNN
forcats
foreach
forecast
foreign
formattable
Formula
fpc
fracdiff
fs
fuzzyjoin
gapminder
gdalUtils
gdata
gdtools
geoaxe
geofacet
geogrid
geojson
geojsonio
geojsonlint
geometry
geosphere
gganimate
ggforce
gghighlight
ggmap
ggplot2
ggpubr
ggraph
ggrepel
ggridges
ggsci
ggsignif
ggstance
ggtern
gh
gifski
giphyr
git2r
glue
gmodels
goftest
googlePolylines
googleway
gower
gplots
graphics
grDevices
grid
gridExtra
gridSVG
gstat
gtable
gtools
GWmodel
haven
HDInterval
here
hexbin
highr
Hmisc
hms
htmlTable
htmltools
htmlwidgets
httpcode
httpuv
httr
hunspell
igraph
imager
imguR
ineq
infer
ini
inline
intervals
ipred
ISOcodes
iterators
janeaustenr
janitor
jpeg
jqr
jsonlite
jsonvalidate
kernlab
KernSmooth
kknn
knitr
labeling
laeken
later
latex2exp
lattice
latticeExtra
lava
lazyeval
leafem
leaflet
leaflet.extras
leafpm
leafpop
leaps
LearnBayes
lehdr
lme4
lmtest
loo
lpSolve
lubridate
lwgeom
magic
magick
magrittr
manipulateWidget
mapedit
mapproj
maps
maptools
mapview
markdown
MASS
Matching
MatchIt
Matrix
MatrixModels
matrixStats
mclust
memoise
methods
mgcv
mime
miniUI
minqa
MLmetrics
mnormt
ModelMetrics
modelr
modeltools
munsell
mvtnorm
nabor
ncdf4
ncmeta
nlme
nloptr
nnet
numDeriv
oai
openssl
openxlsx
optmatch
osmdata
packcircles
packrat
padr
parallel
pbkrtest
PerformanceAnalytics
pillar
pixmap
pkgbuild
pkgconfig
pkgload
PKI
plogr
plotKML
plotly
plotrix
plotROC
pls
plyr
png
polyclip
polynom
prabclus
prettyunits
pROC
processx
prodlim
progress
promises
proto
protolite
ps
pscl
psych
purrr
quadprog
Quandl
quantmod
quantreg
R.methodsS3
R.oo
R.utils
R6
RANN
rappdirs
raster
rasterVis
rayshader
rcartocolor
rcmdcheck
RColorBrewer
Rcpp
RcppArmadillo
RcppEigen
RcppRoll
RCurl
readbitmap
readr
readxl
recipes
rematch
remotes
reprex
reshape
reshape2
rgbif
rgdal
rgeos
rgl
RgoogleMaps
rio
RItools
rjson
RJSONIO
rlang
rmapshaper
rmarkdown
rnaturalearth
rnaturalearthdata
rnaturalearthhires
RNetCDF
robustbase
ROCR
rpart
rprojroot
RSAGA
rsample
rsconnect
RSocrata
rstan
rstanarm
rstantools
rStrava
rstudioapi
rvest
satellite
scales
scatterplot3d
scico
selectr
sessioninfo
sf
sfsmisc
shapefiles
shiny
shinyjs
shinystan
shinythemes
sn
snakecase
SnowballC
sourcetools
sp
spacetime
SparseM
spatial
spatialreg
spatstat
spatstat.data
spatstat.utils
spData
spdep
spgwr
splines
SQUAREM
StanHeaders
stargazer
stars
stats
stats4
stopwords
stplanr
stringdist
stringi
stringr
survival
svd
svglite
svUnit
sys
tcltk
tensor
tensorA
testit
threejs
tibble
tidybayes
tidycensus
tidymodels
tidyposterior
tidypredict
tidyquant
tidyr
tidyselect
tidytext
tidyverse
tiff
tigris
timeDate
timetk
tinytex
tmap
tmaptools
tokenizers
tools
tourr
transformr
triebeard
trimcluster
tseries
TTR
tweenr
units
urca
urltools
usethis
utf8
utils
uuid
V8
vcd
vctrs
VIM
viridis
viridisLite
webshot
whisker
wicket
withr
wkb
xfun
XML
xml2
xopen
xtable
xts
yaml
yardstick
zeallot
zip
zoo
